% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
50996 +2.503605595e+000 +2.503605595e+000 +1.516536056e+002 +1.516536056e+002 -6.0722e-002 -3.7916e-001 +1.5541e-002 +1.8445e+000 -2.7366e+000 -1.1773e+000 -8.1010e-001 -1.0736e+000 +9.7038e-002 +5.1159e-001 -1.6846e+000 +7.4205e-001 +2.6819e+000 -6.7636e-001 -8.9200e-001 -8.3687e-001 -4.4799e-001 -1.9463e-001 -2.8023e+000 -3.8622e+000
52345 +1.582847701e+000 +1.582847701e+000 +1.507328477e+002 +1.507328477e+002 -5.9962e-002 -3.7783e-001 +1.4653e-002 +1.8521e+000 -2.7390e+000 -1.1833e+000 -8.0819e-001 -1.0622e+000 +9.1646e-002 +5.0470e-001 -1.6867e+000 +7.5256e-001 +2.7118e+000 -6.2540e-001 -7.9834e-001 -6.6054e-001 -1.9794e-001 +5.5004e-002 -2.6452e+000 -3.8637e+000
53453 +9.866200660e-001 +9.866200660e-001 +1.501366201e+002 +1.501366201e+002 -6.0004e-002 -3.7506e-001 +1.8384e-002 +1.8506e+000 -2.7426e+000 -1.1876e+000 -8.1336e-001 -1.0806e+000 +8.0662e-002 +5.0234e-001 -1.6806e+000 +7.6133e-001 +2.7043e+000 -6.0923e-001 -7.7287e-001 -6.1591e-001 -1.1986e-001 +1.8013e-001 -2.5066e+000 -3.7664e+000
54645 +6.121954288e-001 +6.121954288e-001 +1.497621954e+002 +1.497621954e+002 -6.0524e-002 -3.6922e-001 +2.3830e-002 +1.8535e+000 -2.7408e+000 -1.1946e+000 -8.0935e-001 -1.0715e+000 +9.5587e-002 +5.0950e-001 -1.6709e+000 +7.6761e-001 +2.7298e+000 -5.8159e-001 -7.4491e-001 -5.7501e-001 -4.2697e-002 +3.1243e-001 -2.3462e+000 -3.6606e+000
56252 +3.974118521e-001 +3.974118521e-001 +1.495474119e+002 +1.495474119e+002 -4.7132e-002 -3.6551e-001 +2.0998e-002 +1.8536e+000 -2.7328e+000 -1.1901e+000 -8.1470e-001 -1.0754e+000 +9.2519e-002 +5.1489e-001 -1.6749e+000 +7.7275e-001 +2.7279e+000 -5.8598e-001 -7.3489e-001 -5.5271e-001 -4.2049e-003 +3.6176e-001 -2.2735e+000 -3.5694e+000
57416 +2.390781526e-001 +2.390781526e-001 +1.493890782e+002 +1.493890782e+002 -5.8829e-002 -3.7160e-001 +1.6762e-002 +1.8524e+000 -2.7310e+000 -1.1822e+000 -8.0532e-001 -1.0674e+000 +9.9588e-002 +5.1569e-001 -1.6760e+000 +7.6977e-001 +2.7274e+000 -5.7795e-001 -7.1934e-001 -5.2639e-001 +4.4768e-002 +4.4163e-001 -2.1432e+000 -3.4216e+000
58723 +1.553584008e-001 +1.553584008e-001 +1.493053584e+002 +1.493053584e+002 -5.5367e-002 -3.7099e-001 +1.5833e-002 +1.8510e+000 -2.7318e+000 -1.1819e+000 -8.0176e-001 -1.0641e+000 +9.5867e-002 +5.1473e-001 -1.6719e+000 +7.6782e-001 +2.7270e+000 -5.7626e-001 -7.1199e-001 -5.0866e-001 +8.2159e-002 +5.1374e-001 -2.0215e+000 -3.2405e+000
60349 +9.870848340e-002 +9.870848340e-002 +1.492487085e+002 +1.492487085e+002 -5.4067e-002 -3.7083e-001 +1.7121e-002 +1.8500e+000 -2.7347e+000 -1.1819e+000 -8.0394e-001 -1.0648e+000 +9.5967e-002 +5.0912e-001 -1.6745e+000 +7.6657e-001 +2.7305e+000 -5.7102e-001 -7.0768e-001 -4.9156e-001 +1.1469e-001 +5.8209e-001 -1.8938e+000 -3.0284e+000
61930 +6.250465913e-002 +6.250465913e-002 +1.492125047e+002 +1.492125047e+002 -5.8154e-002 -3.7042e-001 +1.7866e-002 +1.8503e+000 -2.7341e+000 -1.1841e+000 -8.0739e-001 -1.0688e+000 +9.5558e-002 +5.1085e-001 -1.6761e+000 +7.6756e-001 +2.7312e+000 -5.6928e-001 -6.9951e-001 -4.8822e-001 +1.2020e-001 +5.8590e-001 -1.8885e+000 -3.0151e+000
63110 +3.940410685e-002 +3.940410685e-002 +1.491894041e+002 +1.491894041e+002 -5.6248e-002 -3.7014e-001 +1.8025e-002 +1.8515e+000 -2.7337e+000 -1.1853e+000 -8.0916e-001 -1.0708e+000 +9.4748e-002 +5.0798e-001 -1.6770e+000 +7.6919e-001 +2.7376e+000 -5.6423e-001 -6.9767e-001 -4.8161e-001 +1.2457e-001 +5.9612e-001 -1.8674e+000 -2.9755e+000
