% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2993 +4.857759892e+000 +4.857759892e+000 +4.867759892e+000 +4.867759892e+000 +2.5420e+000 +4.7541e+000 +5.6339e+000 -1.2780e+000 +4.9532e+000 +2.7627e+000 +4.5823e+000 +4.8151e+000 +5.1590e+000 +4.0791e+000 +4.6936e+000 +3.5806e+000 +4.5480e+000 +4.7327e+000 -2.4090e+000 +5.1168e+000 +5.1330e+000 +5.5781e+000 +4.9243e+000 +5.1970e+000
3546 +3.678369951e+000 +3.678369951e+000 +3.688369951e+000 +3.688369951e+000 +2.6028e+000 +4.6552e+000 +5.8934e+000 -1.8703e+000 +4.9561e+000 +2.3948e+000 +4.3278e+000 +5.3110e+000 +5.2900e+000 +3.9787e+000 +4.9330e+000 +3.4366e+000 +4.1839e+000 +5.0161e+000 -2.1134e+000 +5.1886e+000 +4.7017e+000 +6.0532e+000 +4.8988e+000 +5.1393e+000
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.567305212e+002 +8.567305212e+002 +7.261205212e+002 +7.261205212e+002 +1.4142e+001 +1.0335e+001 +1.2319e+001 +1.0425e+001 +1.3704e+001 +1.0951e+001 +1.2258e+001 +9.3787e+000 +1.1315e+001 +1.3787e+001 +1.3520e+001 +5.3907e+000 +1.0675e+001 +1.1930e+001 +1.1648e+001 +6.4146e+000 +1.3181e+001 +1.1694e+001 +1.0558e+001 +7.9262e+000
3 +4.518714050e+002 +4.518714050e+002 +3.212614050e+002 +3.212614050e+002 +7.6385e+000 +1.4408e+001 +5.7742e+000 +1.1193e+001 +7.1862e+000 +7.2428e+000 +8.7742e+000 +6.9343e+000 +7.1956e+000 +8.0305e+000 +1.3620e+001 +6.4177e+000 +7.2276e+000 +1.2037e+001 +5.2085e+000 +1.1048e+001 +1.4297e+001 +5.1683e+000 +7.3282e+000 +6.8632e+000
6 +3.511533125e+002 +3.511533125e+002 +2.205433125e+002 +2.205433125e+002 +7.9380e+000 +9.3974e+000 +5.3209e+000 +6.2069e+000 +5.2996e+000 +8.0176e+000 +1.2132e+001 +5.7254e+000 +8.9297e+000 +1.1999e+001 +6.9696e+000 +9.7850e+000 +1.0913e+001 +1.2491e+001 +6.2796e+000 +5.8328e+000 +5.4153e+000 +5.5567e+000 +1.1751e+001 +9.6178e+000
446 +2.002331147e+002 +2.002331147e+002 +6.962311471e+001 +6.962311471e+001 +1.0206e+001 +3.7665e+000 +7.0616e+000 +5.9257e+000 +6.4495e+000 +7.4059e+000 +9.6034e+000 +7.7067e+000 +5.0269e+000 +1.9356e+000 +4.1906e+000 +7.2308e+000 +8.3697e+000 +1.0364e+001 +9.6510e+000 +8.0109e+000 +6.0983e-001 +9.2384e+000 +7.6682e+000 +8.1095e+000
772 +1.329888813e+002 +1.329888813e+002 +2.378881316e+000 +2.378881316e+000 +7.6941e+000 -9.6345e-001 +1.9629e+000 +4.6927e+000 +8.2216e+000 +6.3501e+000 +7.1899e+000 +3.0282e+000 +5.0262e+000 +4.5201e+000 +2.8361e+000 +1.2736e+001 +5.9271e+000 +9.3213e+000 +3.1455e+000 +3.6065e+000 +4.5462e+000 +8.0275e+000 +7.8126e+000 +4.7174e+000
919 +9.657021250e+001 +9.657021250e+001 -3.403978750e+001 -3.403978750e+001 +7.5882e+000 +5.3136e+000 +6.3157e+000 +5.1323e+000 +8.4757e+000 +5.9950e+000 +5.7392e+000 +4.1952e+000 +4.7838e+000 +3.9389e+000 +6.1954e+000 +6.3640e+000 +8.5060e+000 +9.2576e+000 +4.4005e+000 +5.0899e+000 +1.5359e+000 +1.0206e+001 +3.6793e+000 +5.0756e+000
1064 +4.465408226e+001 +4.465408226e+001 -8.595591774e+001 -8.595591774e+001 +6.8051e+000 +3.6834e-001 +4.5285e+000 +3.9965e+000 +6.0569e+000 +6.0532e+000 +6.8098e+000 +4.7497e+000 +5.2347e+000 +4.0595e+000 +4.1939e+000 +8.1228e+000 +7.0195e+000 +8.1211e+000 +4.9565e+000 +4.1453e+000 +3.3394e-001 +6.9796e+000 +5.2616e+000 +4.0129e+000
1144 +3.185081459e+001 +3.185081459e+001 -9.875918541e+001 -9.875918541e+001 +6.0110e+000 +1.5696e+000 +5.8745e+000 +4.3399e+000 +4.7990e+000 +5.7655e+000 +6.4055e+000 +5.5295e+000 +4.6851e+000 +4.0371e+000 +4.4946e+000 +6.9157e+000 +6.8874e+000 +8.0960e+000 +5.3992e+000 +4.2773e+000 +2.1001e-001 +6.5025e+000 +4.7667e+000 +3.9417e+000
1385 +2.410950006e+001 +2.410950006e+001 -1.065004999e+002 -1.065004999e+002 +6.0362e+000 +4.0728e-001 +6.0164e+000 +3.3886e+000 +4.1299e+000 +4.8034e+000 +5.8444e+000 +5.5652e+000 +4.3743e+000 +4.1840e+000 +4.3306e+000 +6.7007e+000 +6.3815e+000 +7.3420e+000 +5.2081e+000 +3.5489e+000 -1.7916e+000 +5.8457e+000 +4.4991e+000 +3.6059e+000
1548 +1.502548296e+001 +1.502548296e+001 -1.155845170e+002 -1.155845170e+002 +5.4093e+000 -1.9261e-001 +5.9905e+000 +2.9740e+000 +2.9133e+000 +4.6801e+000 +5.9140e+000 +6.1905e+000 +3.7778e+000 +4.1990e+000 +3.9303e+000 +6.4105e+000 +5.8185e+000 +6.9718e+000 +5.3401e+000 +3.2217e+000 -2.0431e+000 +4.7644e+000 +4.6450e+000 +3.0112e+000
