% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5123 +3.844928943e+001 +3.844928943e+001 -1.714307106e+002 -1.714307106e+002 +3.2279e+000 +8.2714e-001 +1.0115e+000 +2.2005e+000 +1.8204e+000 +2.7911e+000 +2.3706e+000 -9.8362e-002 -1.1193e+000 +2.5661e+000 +8.8124e-001 +1.5730e+000 +3.9673e+000 -1.4169e+000 -1.5422e+000 -3.7725e+000 -3.0634e+000 +3.0624e+000 -2.3800e+000 +1.9187e+000
5625 +2.387745826e+001 +2.387745826e+001 -1.860025417e+002 -1.860025417e+002 +3.4216e+000 +4.1254e-003 +2.1846e+000 +2.1178e+000 +1.9325e+000 +2.6439e+000 +2.3057e+000 -1.6309e-001 -1.0504e+000 +2.5530e+000 +8.6977e-001 +1.5771e+000 +3.9686e+000 -1.4139e+000 -1.5365e+000 -3.7673e+000 -3.0616e+000 +3.0617e+000 -2.3790e+000 +1.9201e+000
5744 +1.542263219e+001 +1.542263219e+001 -1.944573678e+002 -1.944573678e+002 +3.0996e+000 +4.4824e-001 +3.0643e+000 +2.7108e+000 +1.8439e+000 +2.7861e+000 +2.2557e+000 -1.8294e-001 -1.0781e+000 +2.5744e+000 +8.6984e-001 +1.5541e+000 +3.9529e+000 -1.4227e+000 -1.5424e+000 -3.7659e+000 -3.0632e+000 +3.0616e+000 -2.3799e+000 +1.9200e+000
5822 +8.911605890e+000 +8.911605890e+000 -2.009683941e+002 -2.009683941e+002 +2.1486e+000 +4.2495e-001 +3.5860e+000 +2.4942e+000 +1.9311e+000 +2.7129e+000 +2.3330e+000 -9.8928e-002 -1.0438e+000 +2.5463e+000 +8.5720e-001 +1.5536e+000 +3.9628e+000 -1.4225e+000 -1.5324e+000 -3.7660e+000 -3.0632e+000 +3.0616e+000 -2.3806e+000 +1.9198e+000
5919 +5.955709920e+000 +5.955709920e+000 -2.039242901e+002 -2.039242901e+002 +2.0448e+000 +7.6946e-001 +3.7156e+000 +2.5260e+000 +1.8306e+000 +2.7176e+000 +2.3755e+000 -5.3788e-002 -1.0509e+000 +2.5674e+000 +8.7981e-001 +1.5433e+000 +3.9746e+000 -1.4227e+000 -1.5299e+000 -3.7671e+000 -3.0619e+000 +3.0618e+000 -2.3795e+000 +1.9197e+000
6077 +3.407755619e+000 +3.407755619e+000 -2.064722444e+002 -2.064722444e+002 +2.0276e+000 +8.4002e-001 +3.6767e+000 +2.4480e+000 +1.8139e+000 +2.7227e+000 +2.3427e+000 -9.7581e-002 -1.0730e+000 +2.5741e+000 +8.8013e-001 +1.5487e+000 +3.9757e+000 -1.4212e+000 -1.5312e+000 -3.7667e+000 -3.0624e+000 +3.0618e+000 -2.3801e+000 +1.9201e+000
6285 +2.470654398e+000 +2.470654398e+000 -2.074093456e+002 -2.074093456e+002 +1.6218e+000 +5.9833e-001 +3.6080e+000 +2.2540e+000 +1.9525e+000 +2.6527e+000 +2.3398e+000 -1.1037e-001 -1.0718e+000 +2.5917e+000 +8.8535e-001 +1.5645e+000 +3.9750e+000 -1.4213e+000 -1.5321e+000 -3.7683e+000 -3.0630e+000 +3.0627e+000 -2.3801e+000 +1.9205e+000
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.310869957e+006 +3.310869957e+006 +3.310777867e+006 +3.310777867e+006 -4.8661e-001 +3.3859e+000 -3.2253e+000 -1.3169e+000 -2.2642e+000 +2.3809e+000 +7.1801e-001 +3.9733e+000 +1.1594e+000 -2.1724e+000 -3.4951e+000 -1.2817e+000 -1.6780e-001 -2.0019e+000 -2.0389e-001 +3.8232e+000 -1.3003e+000 +1.4393e+000 +1.3989e+000 -9.0651e-001
149 +1.236208579e+006 +1.236208579e+006 +1.236116489e+006 +1.236116489e+006 +1.5128e-001 +1.2681e+000 -8.1984e+000 -5.2092e+000 +3.3723e+000 -1.4178e+000 -2.2847e+000 +4.4764e+000 -4.2095e-001 -1.8657e-001 -1.9497e+000 -1.5959e+000 +2.6142e+000 +4.9482e-002 +1.8540e+000 +3.2921e-001 -1.3616e+000 +4.0646e+000 +2.1825e+000 -1.6053e+000
226 +4.124758078e+005 +4.124758078e+005 +4.123837178e+005 +4.123837178e+005 +1.5128e-001 +1.8356e+000 -8.1984e+000 -1.2694e+000 -1.9167e+000 -1.4178e+000 -2.2847e+000 +4.4764e+000 -4.2095e-001 -2.8355e+000 -1.1853e+000 -1.5959e+000 +2.6142e+000 +5.7952e-002 +3.5980e+000 +3.2921e-001 -3.1682e+000 +4.0646e+000 +2.1825e+000 -1.6053e+000
465 +2.489062586e+005 +2.489062586e+005 +2.488141686e+005 +2.488141686e+005 -1.3887e-001 +3.3554e+000 -7.5825e+000 +1.1719e+000 -3.7128e+000 -5.1586e-001 -3.1310e+000 +4.7583e+000 +2.2367e+000 -3.4369e+000 -1.2963e+000 -9.7824e-001 +2.1491e+000 +1.7526e-001 +3.4945e+000 +9.0163e-002 -4.3309e+000 +3.9071e+000 +1.8142e+000 -1.4762e+000
702 +1.398458853e+005 +1.398458853e+005 +1.397537953e+005 +1.397537953e+005 -1.7113e-001 +5.1937e+000 -6.3467e+000 +1.3382e+000 -5.5564e+000 -1.6803e-001 -2.6257e+000 +4.3573e+000 +2.8771e+000 -4.4247e+000 -1.1988e+000 -3.4813e-001 -9.6291e-001 +1.8117e-001 +4.1614e+000 +1.7283e-001 -4.3654e+000 +3.7265e+000 +1.9168e+000 -1.2987e+000
1113 +8.188798010e+004 +8.188798010e+004 +8.179589010e+004 +8.179589010e+004 -3.0547e+000 +2.6054e+000 -7.6468e+000 +3.5541e+000 -4.6030e+000 +5.6744e-001 -5.1407e+000 +5.0080e+000 +5.6750e+000 -2.1723e+000 +7.9224e-001 +6.4432e-001 -7.9242e-001 +1.1601e-001 +4.0223e+000 +6.6752e-001 -3.8993e+000 +3.4970e+000 +1.8410e+000 -1.3621e+000
1344 +6.274288766e+004 +6.274288766e+004 +6.265079766e+004 +6.265079766e+004 -1.0220e+000 +8.9767e+000 -6.8729e+000 +3.4484e+000 -4.9101e+000 -1.2966e-001 +2.8965e+000 +2.2513e+000 +4.8821e+000 -3.2267e+000 -4.7806e-001 -1.9394e-001 -1.6255e+000 +3.9157e-001 +3.7190e+000 +6.8549e-001 -3.8178e+000 +3.6923e+000 +1.8526e+000 -1.3229e+000
1587 +3.848248558e+004 +3.848248558e+004 +3.839039558e+004 +3.839039558e+004 -1.3539e+000 +1.0137e+001 -7.6855e+000 +1.7075e-001 -4.6843e+000 -2.1161e-001 -4.0520e-001 +2.4689e+000 +5.2720e+000 -1.7375e+000 +1.6727e+000 -8.5671e-001 -1.0645e+000 +8.3454e-001 +3.5443e+000 +4.8954e-001 -3.8999e+000 +3.6472e+000 +1.8532e+000 -1.3432e+000
1697 +2.155366932e+004 +2.155366932e+004 +2.146157932e+004 +2.146157932e+004 -1.3155e+000 +7.3890e+000 -6.7247e+000 +5.1188e-001 -4.0333e+000 -3.2856e-001 -4.6434e-001 +1.5299e+000 +3.9731e+000 -1.0176e+000 +2.0120e+000 -1.1167e+000 -1.7893e+000 +8.5045e-001 +3.5994e+000 +6.4419e-001 -3.8868e+000 +3.6979e+000 +1.7933e+000 -1.3142e+000
1777 +1.466996178e+004 +1.466996178e+004 +1.457787178e+004 +1.457787178e+004 -2.5592e+000 +4.1522e+000 -5.1157e+000 +5.9278e-001 -4.1070e+000 -4.5158e-001 -9.3091e-001 +6.5700e-001 +1.4814e+000 +2.4739e-002 +2.5415e+000 -1.3076e+000 -2.4405e+000 +8.7164e-001 +3.6769e+000 +6.4458e-001 -3.9080e+000 +3.6675e+000 +1.7586e+000 -1.2895e+000
1946 +9.391456033e+003 +9.391456033e+003 +9.299366033e+003 +9.299366033e+003 -1.3214e+000 -3.6138e+000 -4.7360e+000 -8.4009e-001 -1.1349e+000 -3.5687e-001 -2.7643e+000 -9.1697e-001 +1.1922e+000 +2.1515e+000 +2.6400e+000 -1.4690e+000 -1.8798e+000 +9.0026e-001 +3.6469e+000 +7.1724e-001 -3.8687e+000 +3.6938e+000 +1.8035e+000 -1.3105e+000
2227 +5.501978980e+003 +5.501978980e+003 +5.409888980e+003 +5.409888980e+003 -1.2537e+000 -2.0931e+000 -5.2946e+000 +5.6595e+000 -2.4565e+000 +4.1599e-001 +2.8251e+000 -4.9139e-001 -1.0722e-001 +9.0464e-001 +3.2237e+000 -1.5419e+000 -1.6483e+000 +7.8212e-001 +3.7421e+000 +6.7236e-001 -3.8789e+000 +3.7002e+000 +1.8344e+000 -1.3577e+000
2287 +3.056473155e+003 +3.056473155e+003 +2.964383155e+003 +2.964383155e+003 -1.5678e+000 -6.0542e-001 -5.0347e+000 +2.1047e+000 -1.9880e+000 +9.3039e-001 -9.7033e-001 -1.1808e+000 +1.1842e+000 +1.1971e+000 +4.0155e+000 -1.8277e+000 -2.0360e+000 +6.6409e-001 +3.8111e+000 +6.9315e-001 -3.8862e+000 +3.6829e+000 +1.8130e+000 -1.3451e+000
2588 +2.371628160e+003 +2.371628160e+003 +2.279538160e+003 +2.279538160e+003 -5.7438e-001 +7.2946e-002 -5.9638e+000 +5.4794e-001 -1.7012e+000 +6.1202e-001 -1.1127e+000 -3.2312e-001 +9.8407e-001 +1.4392e+000 +3.7809e+000 -1.7569e+000 -2.0230e+000 +7.8705e-001 +3.7353e+000 +6.8186e-001 -3.9052e+000 +3.6745e+000 +1.8090e+000 -1.3545e+000
2748 +1.546676212e+003 +1.546676212e+003 +1.454586212e+003 +1.454586212e+003 -1.0966e+000 -1.3509e+000 -6.8442e+000 -1.8849e+000 -1.1201e+000 +5.0072e-001 -2.0972e-001 -3.4448e-003 +6.1717e-001 +1.8583e+000 +3.6594e+000 -1.5373e+000 -1.9807e+000 +6.2027e-001 +3.8335e+000 +7.0501e-001 -3.8638e+000 +3.6669e+000 +1.8124e+000 -1.3589e+000
2959 +8.084694200e+002 +8.084694200e+002 +7.163794200e+002 +7.163794200e+002 -3.4169e-001 +2.8711e+000 -2.9490e+000 -1.9553e-001 +4.1819e-001 -2.3548e+000 -1.0060e+000 +2.2728e-001 +7.0938e-001 +1.3358e+000 +3.8029e+000 -1.8253e+000 -2.1073e+000 +7.3391e-001 +3.7563e+000 +7.3879e-001 -3.8400e+000 +3.6836e+000 +1.8284e+000 -1.3525e+000
3108 +6.222409098e+002 +6.222409098e+002 +5.301509098e+002 +5.301509098e+002 -4.6630e-001 +3.3549e+000 -3.7427e+000 -1.2945e+000 +6.9843e-001 -2.7802e+000 +1.3601e-001 +3.5303e-001 +5.5434e-001 +1.4089e+000 +3.7711e+000 -1.8041e+000 -2.1283e+000 +7.4337e-001 +3.7599e+000 +7.3597e-001 -3.8299e+000 +3.6748e+000 +1.8309e+000 -1.3511e+000
3215 +3.845655854e+002 +3.845655854e+002 +2.924755854e+002 +2.924755854e+002 -1.0386e+000 +4.9060e+000 -1.1395e+000 +8.9155e-001 +7.0681e-001 -4.3177e+000 +4.2944e-001 +5.0067e-001 +5.6195e-001 +1.6470e+000 +4.0711e+000 -1.7220e+000 -2.1980e+000 +6.9421e-001 +3.7845e+000 +7.0651e-001 -3.8625e+000 +3.6684e+000 +1.8125e+000 -1.3569e+000
3660 +2.498754224e+002 +2.498754224e+002 +1.577854224e+002 +1.577854224e+002 -1.1650e+000 +5.8719e+000 -2.2965e+000 -1.1574e-001 +2.9781e-001 -4.3531e+000 +6.0476e-001 +4.8433e-001 +4.9675e-001 +1.5887e+000 +3.9319e+000 -1.7341e+000 -2.1531e+000 +6.8919e-001 +3.7788e+000 +7.1273e-001 -3.8523e+000 +3.6703e+000 +1.8199e+000 -1.3571e+000
3950 +1.446133939e+002 +1.446133939e+002 +5.252339390e+001 +5.252339390e+001 -1.2690e+000 +5.3629e+000 -2.2542e+000 -8.3408e-001 +1.2846e-001 -3.9528e+000 +4.2949e-001 +6.6412e-001 +3.6970e-001 +1.6668e+000 +3.9134e+000 -1.6661e+000 -2.1571e+000 +6.6448e-001 +3.7761e+000 +7.1458e-001 -3.8471e+000 +3.6676e+000 +1.8187e+000 -1.3601e+000
4175 +9.588861274e+001 +9.588861274e+001 +3.798612742e+000 +3.798612742e+000 -1.5105e+000 +4.4558e+000 +3.8756e-003 -8.6310e-001 +2.9747e-001 -4.1427e+000 +4.4456e-001 +9.9217e-001 +3.6662e-001 +1.6737e+000 +3.7971e+000 -1.6425e+000 -2.1196e+000 +6.6760e-001 +3.7857e+000 +7.2532e-001 -3.8470e+000 +3.6703e+000 +1.8182e+000 -1.3606e+000
4458 +5.935706303e+001 +5.935706303e+001 -3.273293697e+001 -3.273293697e+001 -8.4306e-001 +4.5519e+000 -3.4063e-001 -1.3998e+000 +9.9065e-002 -3.7351e+000 -2.1177e-001 +1.1069e+000 +5.2268e-001 +1.6801e+000 +3.7765e+000 -1.6475e+000 -2.1055e+000 +6.7535e-001 +3.7629e+000 +7.3131e-001 -3.8572e+000 +3.6685e+000 +1.8217e+000 -1.3609e+000
4551 +3.856256511e+001 +3.856256511e+001 -5.352743489e+001 -5.352743489e+001 -8.7341e-001 +4.4056e+000 +5.4014e-003 -1.6218e+000 -1.1768e-002 -3.7141e+000 -1.5158e-001 +1.0528e+000 +4.6874e-001 +1.6708e+000 +3.7936e+000 -1.6805e+000 -2.1144e+000 +6.7645e-001 +3.7723e+000 +7.3209e-001 -3.8543e+000 +3.6681e+000 +1.8215e+000 -1.3602e+000
4851 +2.394551328e+001 +2.394551328e+001 -6.814448672e+001 -6.814448672e+001 -3.1640e-001 +4.5843e+000 +1.8452e-002 -1.9539e+000 -1.1757e-002 -4.0457e+000 +1.1856e-001 +1.0034e+000 +4.5099e-001 +1.6192e+000 +3.8184e+000 -1.7125e+000 -2.1145e+000 +6.7463e-001 +3.7606e+000 +7.2757e-001 -3.8525e+000 +3.6632e+000 +1.8210e+000 -1.3604e+000
4979 +1.469464120e+001 +1.469464120e+001 -7.739535880e+001 -7.739535880e+001 +1.9624e-001 +3.0558e+000 +4.4318e-001 -2.1039e+000 -1.8564e-001 -4.0181e+000 +3.3424e-002 +1.0295e+000 +4.8532e-001 +1.6178e+000 +3.8157e+000 -1.7149e+000 -2.1105e+000 +6.6224e-001 +3.7681e+000 +7.2727e-001 -3.8567e+000 +3.6591e+000 +1.8197e+000 -1.3604e+000
5113 +8.064557932e+000 +8.064557932e+000 -8.402544207e+001 -8.402544207e+001 +3.2961e-001 +2.8264e+000 +5.2418e-001 -1.7916e+000 -1.7636e-001 -4.0171e+000 +6.4265e-002 +1.0508e+000 +4.6389e-001 +1.6843e+000 +3.8034e+000 -1.7027e+000 -2.1032e+000 +6.6946e-001 +3.7683e+000 +7.2654e-001 -3.8522e+000 +3.6597e+000 +1.8186e+000 -1.3604e+000
5279 +5.899629427e+000 +5.899629427e+000 -8.619037057e+001 -8.619037057e+001 +4.5486e-001 +2.5726e+000 +4.4328e-001 -1.7684e+000 -2.0898e-001 -3.9503e+000 -3.1243e-002 +9.5066e-001 +4.5542e-001 +1.6911e+000 +3.8115e+000 -1.7143e+000 -2.0985e+000 +6.6993e-001 +3.7700e+000 +7.2549e-001 -3.8529e+000 +3.6597e+000 +1.8185e+000 -1.3604e+000
5696 +3.924283895e+000 +3.924283895e+000 -8.816571611e+001 -8.816571611e+001 +7.9631e-002 +2.7558e+000 +4.6519e-001 -1.7250e+000 -2.3354e-001 -3.8861e+000 +3.0127e-002 +1.0005e+000 +4.4741e-001 +1.6880e+000 +3.8088e+000 -1.7106e+000 -2.0976e+000 +6.7524e-001 +3.7667e+000 +7.2701e-001 -3.8537e+000 +3.6600e+000 +1.8183e+000 -1.3602e+000
5868 +2.050331112e+000 +2.050331112e+000 -9.003966889e+001 -9.003966889e+001 +4.1161e-001 +2.7185e+000 +8.7052e-002 -1.6854e+000 -2.1898e-001 -3.8298e+000 -1.2987e-003 +9.7997e-001 +4.2414e-001 +1.6840e+000 +3.8189e+000 -1.7077e+000 -2.0985e+000 +6.7751e-001 +3.7689e+000 +7.2625e-001 -3.8541e+000 +3.6595e+000 +1.8186e+000 -1.3605e+000
