% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1805 +3.556301567e+004 +3.556301567e+004 +3.456301567e+004 +3.456301567e+004 +3.7957e-001 -9.8507e-002 +6.2739e-002 +2.4626e-001 +1.7700e-001 +7.5878e-002 +6.4972e-001 +3.6486e-001 +8.6679e-001 +3.0577e+000 +3.7261e-001 -2.2282e-001 -1.3311e-001 +1.0412e+000 -2.3627e+000 -6.0993e+000 -1.1434e-001 +0.0000e+000 -2.2667e+000 +4.4852e+000
2480 +1.965856544e+004 +1.965856544e+004 +1.865856544e+004 +1.865856544e+004 +4.6624e-001 +1.4013e+000 -8.9920e-001 -1.9523e-001 -3.5653e-001 -1.8237e+000 +2.5753e-001 -5.0041e-002 -8.1119e-001 +3.1447e+000 -4.6937e-001 -2.2679e-001 -9.9554e-001 +1.8608e+000 -4.1219e+000 -3.7307e+000 -4.8846e-001 +0.0000e+000 -3.0770e+000 +5.6633e+000
3515 +1.517643218e+004 +1.517643218e+004 +1.417643218e+004 +1.417643218e+004 +4.6221e-001 -1.4952e+000 -1.0966e+000 +9.1640e-001 -1.5284e-001 +3.4333e-001 -6.2021e-001 +4.6382e-001 +5.3938e-001 +1.2954e+000 +7.7381e-001 +1.7993e-001 -7.1681e-001 +1.0315e-001 -3.8150e+000 -4.3796e+000 -4.2460e-001 +0.0000e+000 -2.8870e+000 +4.7491e+000
3889 +4.392303358e+003 +4.392303358e+003 +3.392303358e+003 +3.392303358e+003 +3.0648e+000 -1.3257e+000 -1.3768e+000 +3.8980e-001 -4.2739e-001 -7.4459e-001 +1.0806e-001 +5.5050e-001 +4.4214e-001 +1.2157e+000 +3.2645e-002 -1.4996e+000 -9.6189e-001 +7.7825e-001 -2.3157e+000 -5.6730e+000 -1.4417e-001 +0.0000e+000 -3.8683e+000 +4.4022e+000
4575 +1.018349312e+003 +1.018349312e+003 +1.834931230e+001 +1.834931230e+001 +2.1979e+000 -1.2322e+000 -1.6487e+000 +5.1457e-001 -5.5782e-002 -1.3279e+000 -9.0882e-001 +1.0189e+000 +7.3703e-001 +1.6295e+000 +8.1372e-001 -1.8711e+000 -9.3578e-001 +3.8429e-001 -3.4213e+000 -5.7271e+000 -5.4620e-001 +0.0000e+000 -4.5521e+000 +5.1173e+000
5148 +4.036789295e+002 +4.036789295e+002 -5.963210705e+002 -5.963210705e+002 +5.3377e+000 -1.3225e+000 -2.6179e+000 +7.2076e-003 -1.9267e+000 -3.2051e-001 -3.0038e+000 +9.0982e-001 +9.2865e-001 +3.2782e+000 +2.2276e+000 -2.8259e+000 -3.8490e-001 +5.5535e-001 -4.7615e+000 -4.5130e+000 -5.0898e-001 +0.0000e+000 -6.3862e+000 +5.3936e+000
6257 +3.625236327e+002 +3.625236327e+002 -6.374763673e+002 -6.374763673e+002 +4.5501e+000 -1.8334e+000 -1.7799e+000 +7.2966e-001 -1.4043e+000 +1.2265e+000 -7.6127e-001 +1.9095e-001 +3.8119e-001 +2.8821e+000 +7.7116e-001 -2.8894e+000 -2.7671e+000 +2.2181e-001 -5.1375e+000 -1.9752e+000 -3.6191e-001 +0.0000e+000 -6.8970e+000 +5.6890e+000
% function evaluation | noise-free fitness - Fopt (1.319200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.012459420e+007 +1.012459420e+007 +1.012472612e+007 +1.012472612e+007 +9.9877e+000 +1.0470e+001 +1.3331e+001 +6.6217e+000 +1.4517e+001 +9.6348e+000 +9.2971e+000 +8.0115e+000 +1.1193e+001 +1.0247e+001 +1.4291e+001 +7.8161e+000 +5.7082e+000 +5.4873e+000 +6.7165e+000 +1.3300e+001 +1.4395e+001 +6.6906e+000 +6.9699e+000 +5.8779e+000
5 +9.778956282e+006 +9.778956282e+006 +9.779088202e+006 +9.779088202e+006 +7.1819e+000 +1.0422e+001 +8.9581e+000 +1.1178e+001 +5.8995e+000 +1.4386e+001 +5.8396e+000 +7.0885e+000 +1.1806e+001 +7.9748e+000 +6.8682e+000 +6.8390e+000 +1.0580e+001 +1.4607e+001 +5.0968e+000 +7.9851e+000 +7.9342e+000 +1.0056e+001 +1.2470e+001 +5.6968e+000
54 +1.000870275e+006 +1.000870275e+006 +1.001002195e+006 +1.001002195e+006 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
191 +6.793420067e+005 +6.793420067e+005 +6.794739267e+005 +6.794739267e+005 +3.2818e+000 +4.5887e+000 -1.9402e+000 +1.9519e+000 +1.6083e+000 -4.8533e+000 +0.0000e+000 -9.6533e-001 +0.0000e+000 +0.0000e+000 +0.0000e+000 -8.3109e-001 -4.5124e+000 +0.0000e+000 -4.7215e+000 -2.4018e-001 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
