% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
27596 +2.466906993e+000 +2.466906993e+000 +3.836690699e+001 +3.836690699e+001 +2.5439e+000 +1.3737e+000 +2.9647e+000 +3.8063e+000 -1.5473e+000 -3.3458e+000 -2.5507e+000 -2.1997e+000 -2.6331e+000 -3.1090e+000 -1.5651e+000 +1.1076e+000 -5.8060e-001 -4.9144e-001 +1.2331e+000 -4.0062e+000 +7.5218e-001 +3.3350e+000 -1.1438e+000 -3.4327e+000
29121 +1.417629245e+000 +1.417629245e+000 +3.731762925e+001 +3.731762925e+001 +2.5780e+000 +1.3753e+000 +2.8069e+000 +3.6575e+000 -1.5362e+000 -3.3117e+000 -2.6204e+000 -2.2331e+000 -2.7598e+000 -3.0624e+000 -1.5136e+000 +1.2200e+000 -4.7992e-001 -4.9414e-001 +1.4012e+000 -3.9083e+000 +7.1569e-001 +3.2578e+000 -1.1451e+000 -3.3904e+000
31969 +8.414988330e-001 +8.414988330e-001 +3.674149883e+001 +3.674149883e+001 +2.6002e+000 +1.3072e+000 +2.7099e+000 +3.5340e+000 -1.5195e+000 -3.2804e+000 -2.6474e+000 -2.2808e+000 -2.8659e+000 -2.9843e+000 -1.4818e+000 +1.2362e+000 -4.1066e-001 -4.9865e-001 +1.5631e+000 -3.8108e+000 +6.6109e-001 +3.2096e+000 -1.0739e+000 -3.2553e+000
35534 +6.236731450e-001 +6.236731450e-001 +3.652367315e+001 +3.652367315e+001 +2.5966e+000 +1.1968e+000 +2.7162e+000 +3.4703e+000 -1.5060e+000 -3.2573e+000 -2.6624e+000 -2.3015e+000 -2.9651e+000 -3.0034e+000 -1.5257e+000 +1.1889e+000 -3.7742e-001 -5.1026e-001 +1.5665e+000 -3.7451e+000 +6.5302e-001 +3.0925e+000 -1.0080e+000 -3.1964e+000
38397 +3.978245334e-001 +3.978245334e-001 +3.629782453e+001 +3.629782453e+001 +2.6574e+000 +1.2170e+000 +2.7080e+000 +3.5274e+000 -1.4928e+000 -3.2649e+000 -2.5958e+000 -2.1761e+000 -2.9950e+000 -3.0187e+000 -1.5362e+000 +1.2039e+000 -4.2765e-001 -5.1863e-001 +1.6383e+000 -3.7954e+000 +6.4357e-001 +3.0927e+000 -9.3492e-001 -3.1394e+000
40308 +2.460927724e-001 +2.460927724e-001 +3.614609277e+001 +3.614609277e+001 +2.7411e+000 +1.1963e+000 +2.6858e+000 +3.4822e+000 -1.4706e+000 -3.2259e+000 -2.5995e+000 -2.1849e+000 -3.0224e+000 -2.9972e+000 -1.5282e+000 +1.2368e+000 -3.7638e-001 -4.9945e-001 +1.6892e+000 -3.7863e+000 +6.5518e-001 +3.0813e+000 -8.4435e-001 -3.1252e+000
42122 +1.505226568e-001 +1.505226568e-001 +3.605052266e+001 +3.605052266e+001 +2.8096e+000 +1.1804e+000 +2.6047e+000 +3.4855e+000 -1.4406e+000 -3.2088e+000 -2.5696e+000 -2.1627e+000 -3.0735e+000 -2.9645e+000 -1.5542e+000 +1.2912e+000 -3.7880e-001 -4.8451e-001 +1.7069e+000 -3.7787e+000 +6.0603e-001 +3.0688e+000 -8.3930e-001 -3.1177e+000
43114 +9.029666468e-002 +9.029666468e-002 +3.599029666e+001 +3.599029666e+001 +2.7815e+000 +1.1743e+000 +2.6104e+000 +3.4730e+000 -1.4435e+000 -3.2057e+000 -2.5516e+000 -2.1510e+000 -3.0943e+000 -2.9575e+000 -1.5283e+000 +1.3005e+000 -3.6037e-001 -4.5541e-001 +1.6907e+000 -3.7991e+000 +6.6066e-001 +3.0326e+000 -8.3510e-001 -3.1325e+000
46134 +6.040793686e-002 +6.040793686e-002 +3.596040794e+001 +3.596040794e+001 +2.7916e+000 +1.1586e+000 +2.6074e+000 +3.4621e+000 -1.4411e+000 -3.1743e+000 -2.5472e+000 -2.1187e+000 -3.1087e+000 -2.9369e+000 -1.5315e+000 +1.3247e+000 -3.6273e-001 -4.4239e-001 +1.7013e+000 -3.8071e+000 +6.2163e-001 +3.0313e+000 -8.3281e-001 -3.1274e+000
47975 +3.975802374e-002 +3.975802374e-002 +3.593975802e+001 +3.593975802e+001 +2.7922e+000 +1.1401e+000 +2.5981e+000 +3.4426e+000 -1.4463e+000 -3.1511e+000 -2.5454e+000 -2.1303e+000 -3.1223e+000 -2.9382e+000 -1.5188e+000 +1.3287e+000 -3.5477e-001 -4.3555e-001 +1.7284e+000 -3.8006e+000 +6.1981e-001 +3.0057e+000 -8.2612e-001 -3.1289e+000
48771 +2.495461527e-002 +2.495461527e-002 +3.592495462e+001 +3.592495462e+001 +2.7870e+000 +1.1187e+000 +2.5953e+000 +3.4354e+000 -1.4495e+000 -3.1202e+000 -2.5430e+000 -2.1335e+000 -3.1387e+000 -2.9429e+000 -1.5156e+000 +1.3232e+000 -3.5018e-001 -4.3210e-001 +1.7490e+000 -3.7788e+000 +6.2221e-001 +2.9971e+000 -8.1879e-001 -3.1254e+000
51718 +1.575841217e-002 +1.575841217e-002 +3.591575841e+001 +3.591575841e+001 +2.7890e+000 +1.1177e+000 +2.6023e+000 +3.4372e+000 -1.4358e+000 -3.1177e+000 -2.5397e+000 -2.1271e+000 -3.1548e+000 -2.9308e+000 -1.5145e+000 +1.3232e+000 -3.5146e-001 -4.3053e-001 +1.7366e+000 -3.7802e+000 +6.3004e-001 +2.9987e+000 -8.1723e-001 -3.1048e+000
53426 +9.865996859e-003 +9.865996859e-003 +3.590986600e+001 +3.590986600e+001 +2.7909e+000 +1.1231e+000 +2.5966e+000 +3.4356e+000 -1.4277e+000 -3.1136e+000 -2.5404e+000 -2.1184e+000 -3.1544e+000 -2.9232e+000 -1.5147e+000 +1.3361e+000 -3.4701e-001 -4.2332e-001 +1.7307e+000 -3.7832e+000 +6.3420e-001 +2.9973e+000 -8.1210e-001 -3.0981e+000
55358 +5.943385749e-003 +5.943385749e-003 +3.590594339e+001 +3.590594339e+001 +2.7842e+000 +1.1163e+000 +2.6005e+000 +3.4306e+000 -1.4256e+000 -3.1075e+000 -2.5461e+000 -2.1212e+000 -3.1549e+000 -2.9178e+000 -1.5156e+000 +1.3439e+000 -3.5535e-001 -4.1957e-001 +1.7342e+000 -3.7822e+000 +6.3425e-001 +2.9886e+000 -8.1651e-001 -3.0953e+000
56176 +3.953025179e-003 +3.953025179e-003 +3.590395303e+001 +3.590395303e+001 +2.7849e+000 +1.1153e+000 +2.5993e+000 +3.4292e+000 -1.4277e+000 -3.1091e+000 -2.5431e+000 -2.1242e+000 -3.1559e+000 -2.9113e+000 -1.5110e+000 +1.3528e+000 -3.5168e-001 -4.0951e-001 +1.7354e+000 -3.7804e+000 +6.3288e-001 +2.9794e+000 -8.1623e-001 -3.0946e+000
57982 +2.485390093e-003 +2.485390093e-003 +3.590248539e+001 +3.590248539e+001 +2.7813e+000 +1.1195e+000 +2.5963e+000 +3.4332e+000 -1.4327e+000 -3.1047e+000 -2.5488e+000 -2.1256e+000 -3.1559e+000 -2.9135e+000 -1.5087e+000 +1.3490e+000 -3.4815e-001 -4.0806e-001 +1.7408e+000 -3.7773e+000 +6.3040e-001 +2.9741e+000 -8.1503e-001 -3.0965e+000
58787 +1.570778979e-003 +1.570778979e-003 +3.590157078e+001 +3.590157078e+001 +2.7813e+000 +1.1207e+000 +2.5918e+000 +3.4325e+000 -1.4300e+000 -3.1078e+000 -2.5512e+000 -2.1210e+000 -3.1575e+000 -2.9077e+000 -1.5119e+000 +1.3559e+000 -3.4674e-001 -4.1110e-001 +1.7395e+000 -3.7790e+000 +6.3154e-001 +2.9741e+000 -8.1503e-001 -3.0968e+000
60944 +9.544269208e-004 +9.544269208e-004 +3.590095443e+001 +3.590095443e+001 +2.7803e+000 +1.1182e+000 +2.5895e+000 +3.4330e+000 -1.4281e+000 -3.1019e+000 -2.5505e+000 -2.1191e+000 -3.1586e+000 -2.9090e+000 -1.5089e+000 +1.3568e+000 -3.4653e-001 -4.1104e-001 +1.7403e+000 -3.7787e+000 +6.3253e-001 +2.9730e+000 -8.1672e-001 -3.0982e+000
63480 +5.895300299e-004 +5.895300299e-004 +3.590058953e+001 +3.590058953e+001 +2.7807e+000 +1.1150e+000 +2.5901e+000 +3.4324e+000 -1.4283e+000 -3.0973e+000 -2.5485e+000 -2.1177e+000 -3.1596e+000 -2.9078e+000 -1.5092e+000 +1.3578e+000 -3.4582e-001 -4.0833e-001 +1.7408e+000 -3.7788e+000 +6.3121e-001 +2.9733e+000 -8.1637e-001 -3.0989e+000
64593 +3.554035896e-004 +3.554035896e-004 +3.590035540e+001 +3.590035540e+001 +2.7815e+000 +1.1147e+000 +2.5896e+000 +3.4305e+000 -1.4271e+000 -3.0977e+000 -2.5473e+000 -2.1163e+000 -3.1598e+000 -2.9066e+000 -1.5089e+000 +1.3593e+000 -3.4569e-001 -4.0752e-001 +1.7409e+000 -3.7793e+000 +6.3033e-001 +2.9722e+000 -8.1535e-001 -3.0969e+000
