% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
518 +1.465048109e+004 +1.465048109e+004 +1.472814109e+004 +1.472814109e+004 +1.0728e+001 +5.1129e+000 +1.0679e+001 +7.3625e+000 +6.2096e+000 +9.0140e+000 +1.8470e+001 +7.2424e+000 +9.3397e+000 +4.0159e+000 +1.2474e+001 +1.0496e+001 +8.2003e+000 +7.9466e+000 +4.7923e+000 +4.6439e+000 +5.6980e+000 -7.2016e-001 +2.3155e+000 -1.7001e+000
771 +9.870546846e+003 +9.870546846e+003 +9.948206846e+003 +9.948206846e+003 +9.3687e+000 +1.0371e+001 +1.6207e+001 +5.7280e+000 +7.3849e+000 +7.7591e+000 +1.5618e+001 +6.8589e+000 +7.6748e+000 +2.1844e-001 +1.1738e+001 +6.1076e+000 +6.9096e+000 +7.3296e+000 +1.4936e+000 +2.5418e+000 +4.5296e+000 -9.8267e-001 -2.2508e+000 +4.1192e-001
996 +6.015082601e+003 +6.015082601e+003 +6.092742601e+003 +6.092742601e+003 +1.2707e+001 +8.8888e+000 +9.6789e+000 +1.8894e+000 +7.5916e+000 +8.2569e+000 +1.2791e+001 +5.6562e+000 +5.5941e+000 +1.5722e+000 +7.6811e+000 +4.1847e+000 +5.9048e+000 +7.1775e+000 -3.2784e+000 +5.2673e+000 +4.9021e+000 -1.9626e+000 +1.9851e-001 -1.8881e+000
1330 +3.913540350e+003 +3.913540350e+003 +3.991200350e+003 +3.991200350e+003 +1.1063e+001 +2.1848e+000 +1.2878e+001 +1.2851e+000 +5.7853e+000 +8.2312e+000 +1.1479e+001 +4.9633e+000 +5.3971e+000 -2.7609e+000 +4.0285e+000 +1.0085e+000 +5.3819e+000 +5.1613e+000 -4.5777e+000 +4.8784e+000 +3.5538e+000 -3.6128e+000 -1.3904e+000 -2.4487e+000
1594 +2.498874281e+003 +2.498874281e+003 +2.576534281e+003 +2.576534281e+003 +1.2903e+001 +3.1330e+000 +9.5571e+000 +1.5218e+000 +7.7341e+000 +6.1885e+000 +6.8154e+000 +4.3707e+000 +6.3036e+000 -2.0998e+000 +5.7274e+000 +1.6224e+000 +5.0390e+000 +4.1101e+000 -4.1184e+000 +3.4195e+000 +3.6136e+000 -3.0710e+000 -4.4934e-001 -2.1119e+000
1870 +1.539710787e+003 +1.539710787e+003 +1.617370787e+003 +1.617370787e+003 +1.2952e+001 -4.0213e-001 +9.2015e+000 +3.8010e+000 +6.2065e+000 +5.2353e+000 +5.8039e+000 +5.1113e+000 +4.9003e+000 -2.4030e+000 +2.6914e+000 -8.8931e-001 +3.9717e+000 +2.2930e+000 -6.2496e+000 +3.3227e+000 +2.5274e+000 -4.1209e+000 +1.8161e+000 -2.2276e+000
2370 +9.922881569e+002 +9.922881569e+002 +1.069948157e+003 +1.069948157e+003 +1.1751e+001 +2.3382e+000 +2.8428e+000 +2.6318e+000 +5.9341e+000 +4.4755e+000 +3.4732e+000 +3.2875e+000 +5.2224e+000 -4.1124e+000 +4.0865e+000 +1.0525e+000 +3.2990e+000 +1.6398e+000 -4.3874e+000 +2.7599e+000 +1.4274e+000 -5.3851e+000 +2.0434e+000 -2.6596e+000
2946 +6.133040401e+002 +6.133040401e+002 +6.909640401e+002 +6.909640401e+002 +1.0835e+001 -1.8927e+000 +2.0668e+000 +4.1247e+000 +3.4772e+000 +4.4325e+000 +2.4545e+000 +2.1213e+000 +4.2209e+000 -4.5705e+000 +2.2179e+000 +1.5043e+000 +2.9538e+000 -3.1555e-001 -4.5785e+000 +2.6025e+000 +1.5243e+000 -4.1288e+000 +2.0505e+000 -3.5184e+000
3809 +3.590540755e+002 +3.590540755e+002 +4.367140755e+002 +4.367140755e+002 +7.4754e+000 -1.7479e+000 +5.5523e-001 +3.9941e+000 +1.0474e+000 +3.2260e+000 +1.5718e+000 +2.3177e+000 +3.4290e+000 -4.9824e+000 +2.3832e+000 +1.8049e+000 +3.0469e+000 -4.5314e-001 -4.3956e+000 +2.1950e+000 +1.5061e+000 -3.7644e+000 +1.8181e+000 -3.7202e+000
6041 +2.433219044e+002 +2.433219044e+002 +3.209819044e+002 +3.209819044e+002 +5.5457e+000 -6.6891e-001 -3.7739e-001 +4.1988e+000 -1.2780e+000 +1.4429e+000 +1.3050e+000 +2.0424e+000 +3.3063e+000 -4.4249e+000 +2.4943e+000 +1.8212e+000 +2.9207e+000 -3.6439e-001 -4.0933e+000 +1.7938e+000 +1.4993e+000 -3.5271e+000 +2.0014e+000 -3.7426e+000
