% function evaluation | noise-free fitness - Fopt (4.078000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1396 +1.390288930e+001 +1.390288930e+001 -3.569371107e+002 -3.569371107e+002 -4.9835e-001 +4.0201e-001 +3.9577e+000 +1.5378e+000 -2.6123e+000 -7.5460e-003 +8.7854e-001 +1.5182e+000 +2.6756e+000 -1.1205e+000 -3.2006e+000 -8.5278e-001 -4.1747e+000 +5.7287e-001 +1.6758e+000 +2.3784e+000 -4.3179e+000 -3.5222e+000 -1.3283e-001 -3.9820e-001
1544 +9.819230086e+000 +9.819230086e+000 -3.610207699e+002 -3.610207699e+002 -9.5335e-001 +8.1656e-003 +4.5022e+000 +2.4856e+000 -2.1755e+000 -1.1384e+000 +1.7574e+000 +1.3195e+000 +3.2052e+000 -9.3230e-001 -2.8727e+000 -1.5078e+000 -4.9275e+000 +8.2016e-001 +8.6693e-001 +2.0453e+000 -4.4321e+000 -3.5726e+000 +5.2385e-001 -3.9657e-001
1972 +6.253155055e+000 +6.253155055e+000 -3.645868449e+002 -3.645868449e+002 -2.0560e+000 +1.2263e-001 +4.3641e+000 +2.1416e+000 -2.0407e+000 -1.2611e+000 +7.6205e-001 +8.8553e-001 +3.7012e+000 -1.4337e+000 -3.6214e+000 -8.6881e-001 -4.9879e+000 +5.7002e-001 +1.5815e+000 +1.3649e+000 -4.2330e+000 -4.0900e+000 +5.8362e-001 -5.4610e-001
% function evaluation | noise-free fitness - Fopt (-3.256000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.566666689e+001 +8.566666689e+001 +5.310666689e+001 +5.310666689e+001 -3.5521e+000 +3.0104e+000 +1.0010e+000 -3.8161e+000 +4.9680e+000 -2.5136e+000 +4.9481e+000 -1.4847e+000 -1.9055e+000 -2.9182e+000 +9.4647e-001 -3.0469e+000 -2.6019e+000 -1.6081e+000 -4.4764e-001 -5.4296e-001 -3.1624e+000 -4.8173e+000 -2.6561e+000 -2.3994e+000
778 +6.161793846e+001 +6.161793846e+001 +2.905793846e+001 +2.905793846e+001 -1.0722e+000 +2.2253e-001 -5.3906e+000 -4.1210e+000 +1.1292e+000 -7.0745e-001 +3.7655e-002 +8.5251e-001 -3.0736e+000 -5.5480e-001 +1.8935e+000 +3.7167e-001 -1.4423e+000 -2.5054e+000 -1.0677e+000 -1.4031e+000 -9.9759e-001 -1.8463e+000 +3.8729e+000 +1.1304e+000
1505 +3.958889890e+001 +3.958889890e+001 +7.028898896e+000 +7.028898896e+000 -1.3187e+000 -6.6695e-002 -2.5541e+000 -2.2181e+000 +1.6906e+000 -7.4667e-002 -1.4167e-001 +7.7315e-001 -3.8521e+000 -9.0865e-001 +2.3929e+000 +5.1794e-002 -1.6575e+000 -2.9906e+000 -2.0485e+000 -1.7540e+000 -6.2589e-002 -2.0347e+000 +3.8086e+000 +1.7660e-001
2098 +2.465140556e+001 +2.465140556e+001 -7.908594436e+000 -7.908594436e+000 -1.1838e+000 -1.4164e+000 +3.3063e-001 -2.1636e+000 +2.1243e+000 +7.0358e-001 -3.1097e-001 +8.5716e-001 -3.8440e+000 +7.8522e-001 +2.1984e+000 +9.6412e-001 -1.7280e+000 -3.8076e+000 -2.6872e+000 -2.6751e+000 +2.6209e-001 -2.3813e+000 +4.5955e+000 +8.2669e-001
% function evaluation | noise-free fitness - Fopt (5.154000000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.432073588e+001 +8.432073588e+001 +5.997207359e+002 +5.997207359e+002 +3.3108e+000 -1.3186e+000 +3.4283e+000 -1.3104e+000 +1.6485e-001 +3.6211e+000 -1.4540e+000 -4.6020e+000 +2.9460e+000 -8.6499e-001 +7.9104e-002 +2.8650e+000 -3.4135e+000 +3.0277e+000 +2.8345e+000 -3.9503e+000 +1.4073e+000 -3.8463e-001 -4.2411e+000 +1.4155e+000
