% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
886 +1.560836499e+003 +1.560836499e+003 +1.509126499e+003 +1.509126499e+003 +2.7675e+000 -1.4330e+000 -7.3475e+000 -5.9626e+000 +2.1895e+000 +3.6862e-001 +1.0585e-001 +2.1482e-001 -1.9539e+000 -4.2490e-001 +5.1369e+000 -1.0267e+000 +6.2168e-001 -5.3844e+000 -2.9215e+000 -7.2078e-001 -2.6171e+000 +1.8028e+000 +1.7618e+000 +2.8986e+000
2194 +9.974916305e+002 +9.974916305e+002 +9.457816305e+002 +9.457816305e+002 +1.1849e+000 +4.6632e+000 -5.6330e+000 -4.5999e+000 +1.7161e+000 -2.0011e-001 -3.0456e+000 +2.4877e+000 -1.9517e+000 +1.2725e+000 +3.6190e+000 +8.1467e-001 +4.7128e+000 -3.0685e+000 -3.6914e+000 +2.8308e+000 -4.0961e+000 +4.3352e+000 +1.3488e+000 +2.0220e+000
3443 +5.762456396e+002 +5.762456396e+002 +5.245356396e+002 +5.245356396e+002 +3.6646e+000 +3.2042e+000 -3.6096e+000 -3.6962e+000 +1.3089e+000 +1.9674e+000 -3.4781e+000 +2.4588e+000 -2.2449e+000 +1.3315e-001 +2.7547e+000 +2.5244e+000 +6.7235e-001 -7.1916e-001 -2.8783e+000 +1.9338e+000 -3.9941e+000 +3.7166e+000 +1.7675e+000 +3.8898e+000
5285 +3.612386699e+002 +3.612386699e+002 +3.095286699e+002 +3.095286699e+002 +2.3831e+000 +2.8760e+000 -3.1958e+000 -3.4323e+000 +4.6168e-001 +1.4452e+000 -3.8115e+000 +3.2865e+000 -2.4873e+000 +4.5701e-001 +3.0886e+000 +2.4962e+000 +3.2127e+000 +1.1019e-002 -2.1970e+000 +2.5983e+000 -3.8181e+000 +3.0608e+000 +1.3557e+000 +4.4027e+000
6745 +2.469845252e+002 +2.469845252e+002 +1.952745252e+002 +1.952745252e+002 +2.7857e+000 +2.0677e+000 -3.5612e+000 -4.3415e+000 +1.6356e+000 +1.2552e+000 -3.3670e+000 +3.0823e+000 -2.7997e+000 +2.8781e-001 +3.9312e+000 +1.9803e+000 +2.8669e+000 -3.5959e-001 -2.8492e+000 +1.7965e+000 -4.0165e+000 +3.8197e+000 +1.7750e+000 +3.0164e+000
7752 +1.548961023e+002 +1.548961023e+002 +1.031861023e+002 +1.031861023e+002 +2.5657e+000 +3.3110e+000 -3.4564e+000 -3.8642e+000 +1.2464e+000 +1.5596e+000 -3.3649e+000 +3.1653e+000 -3.4595e+000 +3.5094e-001 +3.8649e+000 +2.0662e+000 +3.4000e+000 -7.3947e-002 -3.3299e+000 +2.6506e+000 -4.3241e+000 +3.7145e+000 +1.4821e+000 +3.4082e+000
9019 +9.963189419e+001 +9.963189419e+001 +4.792189419e+001 +4.792189419e+001 +2.6364e+000 +2.9176e+000 -3.4258e+000 -3.7417e+000 +1.3810e+000 +1.3065e+000 -3.7401e+000 +3.1686e+000 -3.3264e+000 +2.3521e-001 +3.8790e+000 +2.0503e+000 +3.2256e+000 +1.2557e-001 -3.0927e+000 +3.0792e+000 -4.2823e+000 +3.7655e+000 +1.5402e+000 +3.2285e+000
10103 +6.050434328e+001 +6.050434328e+001 +8.794343281e+000 +8.794343281e+000 +2.8482e+000 +3.0113e+000 -3.3981e+000 -3.7513e+000 +1.1441e+000 +1.6806e+000 -3.5360e+000 +3.1317e+000 -3.5570e+000 +2.2672e-001 +3.8315e+000 +1.9533e+000 +3.2002e+000 +3.4080e-001 -3.0122e+000 +3.1429e+000 -4.0867e+000 +3.3783e+000 +1.7697e+000 +3.3130e+000
12602 +3.736948563e+001 +3.736948563e+001 -1.434051437e+001 -1.434051437e+001 +2.7279e+000 +2.8475e+000 -3.3614e+000 -3.8496e+000 +1.2516e+000 +1.5400e+000 -3.5901e+000 +2.9545e+000 -3.3271e+000 +3.3378e-001 +3.9999e+000 +1.8822e+000 +3.0179e+000 +1.3046e-001 -3.1343e+000 +2.9848e+000 -4.4556e+000 +3.5368e+000 +1.6781e+000 +3.2541e+000
15914 +1.970651234e+001 +1.970651234e+001 -3.200348766e+001 -3.200348766e+001 +2.7142e+000 +2.8878e+000 -3.4548e+000 -3.8515e+000 +1.1896e+000 +1.5654e+000 -3.5472e+000 +2.9948e+000 -3.3611e+000 +2.4412e-001 +4.0276e+000 +1.9144e+000 +3.1206e+000 +1.7604e-001 -3.1303e+000 +3.0956e+000 -4.4097e+000 +3.4869e+000 +1.6608e+000 +3.2893e+000
19927 +1.565324078e+001 +1.565324078e+001 -3.605675922e+001 -3.605675922e+001 +2.6944e+000 +2.9248e+000 -3.4074e+000 -3.8155e+000 +1.1884e+000 +1.5326e+000 -3.5424e+000 +2.9980e+000 -3.3947e+000 +2.3445e-001 +4.0264e+000 +1.9236e+000 +3.0994e+000 +1.9944e-001 -3.0958e+000 +3.1089e+000 -4.2948e+000 +3.4958e+000 +1.6852e+000 +3.2936e+000
26729 +9.478697057e+000 +9.478697057e+000 -4.223130294e+001 -4.223130294e+001 +2.6712e+000 +2.9173e+000 -3.3980e+000 -3.8177e+000 +1.1592e+000 +1.5746e+000 -3.5304e+000 +3.0365e+000 -3.4199e+000 +2.3803e-001 +4.0019e+000 +1.9487e+000 +3.1163e+000 +2.6376e-001 -3.0612e+000 +3.1636e+000 -4.2807e+000 +3.4450e+000 +1.6807e+000 +3.2647e+000
38769 +5.901276372e+000 +5.901276372e+000 -4.580872363e+001 -4.580872363e+001 +2.6607e+000 +2.9415e+000 -3.3978e+000 -3.8146e+000 +1.1514e+000 +1.5844e+000 -3.5341e+000 +3.0623e+000 -3.4626e+000 +2.3461e-001 +3.9969e+000 +1.9437e+000 +3.1046e+000 +3.0714e-001 -3.0500e+000 +3.2032e+000 -4.2565e+000 +3.4372e+000 +1.6923e+000 +3.2568e+000
64712 +3.888700026e+000 +3.888700026e+000 -4.782129997e+001 -4.782129997e+001 +2.6784e+000 +2.9218e+000 -3.4074e+000 -3.8244e+000 +1.1672e+000 +1.5782e+000 -3.5327e+000 +3.0333e+000 -3.4299e+000 +2.4026e-001 +4.0006e+000 +1.9402e+000 +3.0984e+000 +2.6064e-001 -3.0656e+000 +3.1603e+000 -4.2899e+000 +3.4614e+000 +1.6878e+000 +3.2612e+000
995083 +2.380064656e+000 +2.380064656e+000 -4.932993534e+001 -4.932993534e+001 +2.6668e+000 +2.9530e+000 -3.4008e+000 -3.7998e+000 +1.1499e+000 +1.5958e+000 -3.5250e+000 +3.0704e+000 -3.4820e+000 +2.3192e-001 +3.9869e+000 +1.9586e+000 +3.1023e+000 +3.4373e-001 -3.0313e+000 +3.2256e+000 -4.2371e+000 +3.4254e+000 +1.6873e+000 +3.2604e+000
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.148211612e+003 +3.148211612e+003 +2.868261612e+003 +2.868261612e+003 -3.1795e+000 +4.4468e+000 +1.1291e+000 -4.0914e+000 -1.1848e-001 +2.5748e+000 -2.2629e+000 +1.6412e+000 +9.8898e-001 -1.3809e+000 -3.6069e+000 +6.8477e-001 -4.8695e+000 +4.3676e+000 +2.6391e+000 +3.0794e+000 -3.5280e-001 +7.2602e-001 +4.5190e+000 +1.4812e+000
16 +2.374557875e+003 +2.374557875e+003 +2.094607875e+003 +2.094607875e+003 -2.0721e+000 +3.3382e+000 +2.1575e-001 -4.0829e+000 -3.0934e+000 -2.6861e+000 +9.8791e-001 +8.7545e-001 -2.9371e+000 -3.2252e+000 -1.3876e+000 -8.9282e-001 +3.1586e-001 +5.8575e-001 +2.0886e+000 -5.5084e-001 -3.6696e+000 -1.9338e+000 -3.1068e+000 -1.3441e-001
579 +1.520659143e+003 +1.520659143e+003 +1.240709143e+003 +1.240709143e+003 -3.1460e+000 -2.7037e+000 -5.3861e-001 -1.6217e+000 -3.9449e+000 -5.3673e+000 -3.7629e+000 -2.0499e+000 +6.1874e+000 -2.4972e+000 +3.5023e-001 -6.1921e-002 -7.1434e+000 -9.5764e-001 -2.3739e-001 +4.0225e+000 +7.5671e+000 +1.6314e+000 +5.5009e-001 +2.6624e+000
1779 +9.789131781e+002 +9.789131781e+002 +6.989631781e+002 +6.989631781e+002 -3.7439e+000 -6.9045e+000 +2.4205e+000 -1.7166e+000 -3.2409e+000 -2.8164e+000 -7.1231e-002 -7.9467e-001 +2.7234e+000 -3.2381e+000 -3.5792e-001 +3.8231e+000 -6.9665e+000 -9.5764e-001 -2.3739e-001 +2.8781e+000 +2.8286e+000 +3.9607e+000 +2.6786e+000 +1.8333e+000
2440 +5.701509205e+002 +5.701509205e+002 +2.902009205e+002 +2.902009205e+002 -1.7069e+000 -4.3607e+000 +2.4619e+000 -1.1692e+000 -4.2327e+000 -1.7814e+000 -1.5234e+000 -2.2184e-001 +3.4310e+000 -3.2566e+000 -1.8179e+000 +1.0468e+000 -4.3478e+000 -3.4690e+000 +1.1196e+000 +3.3997e+000 +1.7874e+000 +3.9141e+000 +8.6899e-001 +3.1052e+000
