% function evaluation | noise-free fitness - Fopt (-1.025500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
520 +8.778734740e+000 +8.778734740e+000 +8.046873474e+001 +8.046873474e+001 -5.7830e-001 -9.6214e-001 +2.6416e+000 +1.9383e+000 +1.7615e+000 +2.0558e+000 +1.0416e-001 +1.8377e+000 +8.7559e-001 +1.3883e-002 -3.2182e-002 +4.8200e-001 +2.2060e-001 -7.2333e-001 +4.7018e+000 +9.2727e-001 -5.8810e-002 -6.0896e-001 -9.2572e-001 -3.2894e-002
2681 +5.518438834e+000 +5.518438834e+000 +7.720843883e+001 +7.720843883e+001 +1.1386e-001 -1.3733e+000 +1.3367e+000 +2.0703e+000 -2.5234e-001 +1.9670e+000 +2.8362e-001 +1.4796e+000 +1.1858e+000 -7.4636e-001 +7.9315e-001 -7.4509e-002 -2.7012e-001 -4.3359e-001 +3.3466e+000 +6.1893e-001 +6.2640e-001 -1.7040e+000 -3.1299e-001 -1.3592e-001
% function evaluation | noise-free fitness - Fopt (2.140100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.136511046e+001 +9.136511046e+001 +3.053751105e+002 +3.053751105e+002 +2.5991e-001 +4.7565e+000 -4.0354e+000 +1.7101e+000 +3.6330e+000 +3.6123e+000 +1.4706e+000 +3.8639e+000 -1.6510e+000 -3.9084e+000 -4.1075e+000 +3.1521e+000 +5.3200e-001 +4.1641e+000 -3.6818e+000 +3.0850e+000 -4.4475e+000 +3.4394e+000 -4.1266e-002 -4.0525e+000
4 +4.875843233e+001 +4.875843233e+001 +2.627684323e+002 +2.627684323e+002 +3.2227e+000 -2.3343e+000 -3.0965e+000 +1.4637e+000 -4.5679e+000 +2.1586e+000 +9.4898e-003 -3.0952e+000 +2.3504e+000 -1.0478e+000 -4.5844e+000 -4.3662e+000 +4.3841e+000 +9.3389e-002 +6.4588e-001 +5.0331e-001 -1.9572e+000 +3.0822e+000 +3.0719e+000 -3.8998e+000
5 +3.084364897e+001 +3.084364897e+001 +2.448536490e+002 +2.448536490e+002 +5.6729e-002 -9.8923e-001 -7.0094e-001 +3.1986e+000 -9.2391e-001 +6.2122e-001 +1.5743e+000 +4.1323e+000 +1.7034e+000 -8.1549e-001 -6.7496e-001 -4.4799e-001 -9.5331e-001 -3.2264e+000 -1.3649e+000 -8.8252e-001 -3.6240e+000 -3.7378e+000 -4.9095e+000 +2.0020e+000
71 +2.206334347e+001 +2.206334347e+001 +2.360733435e+002 +2.360733435e+002 +2.7550e+000 -4.3550e-001 -3.0531e+000 -1.0944e+000 +2.3758e-001 +4.8135e-001 +2.5875e+000 +4.9340e-001 -1.4129e+000 -5.0121e-001 +1.3740e+000 -9.5558e-002 -1.6373e+000 -5.5630e-001 -2.1728e+000 +3.4040e+000 +2.9763e+000 +3.1094e+000 +6.6153e-001 -1.6659e+000
199 +1.290601398e+001 +1.290601398e+001 +2.269160140e+002 +2.269160140e+002 +4.4383e-001 -1.0114e+000 -4.1512e-001 -2.0460e+000 +1.2340e+000 -8.7755e-001 -5.0239e-001 +8.7290e-001 -2.0763e+000 -2.8567e+000 -1.7522e+000 +1.5064e+000 +8.6938e-001 +6.7434e-001 +1.4347e-001 -7.6453e-001 -1.9768e+000 +2.9612e+000 +7.4363e-001 -3.9131e-001
675 +9.709043937e+000 +9.709043937e+000 +2.237190439e+002 +2.237190439e+002 +1.9467e+000 +1.0117e+000 +1.0409e+000 -4.5294e-001 +1.6321e+000 -8.1493e-001 -5.0523e-001 -4.2539e-001 -1.4773e+000 -8.1257e-001 +1.5204e+000 +9.1340e-001 +1.7882e+000 +9.4784e-003 -7.8583e-001 -1.2901e+000 -5.0252e-001 +3.7732e-001 -7.0338e-003 -1.2216e+000
1536 +6.224629431e+000 +6.224629431e+000 +2.202346294e+002 +2.202346294e+002 +1.1285e+000 -3.3136e-001 -8.7760e-001 +1.0046e+000 +2.1770e+000 -2.8376e-001 -1.5715e+000 +9.5551e-002 +5.5773e-001 -9.3809e-001 -4.1895e-001 +2.0693e+000 +8.3113e-001 +7.7370e-001 +2.2074e-001 -2.2456e-001 -1.3067e+000 -3.0939e-001 +3.8546e-001 -1.4641e+000
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.634007051e+001 +9.634007051e+001 +3.786007051e+001 +3.786007051e+001 -4.7663e+000 +4.6628e+000 -5.6668e-001 +4.5949e+000 +5.6611e-001 -1.2264e+000 -4.4021e+000 -2.3443e+000 -3.8785e+000 +3.8891e+000 +3.8308e+000 +4.0973e+000 -3.7555e+000 -2.5215e+000 +2.4843e+000 -8.3757e-001 -2.1631e+000 +4.1473e+000 +5.1977e-002 -1.0341e-001
3 +4.078407026e+001 +4.078407026e+001 -1.769592974e+001 -1.769592974e+001 +3.0873e+000 -4.8739e+000 +1.2542e+000 +1.6373e+000 -1.5106e+000 +2.5512e+000 +2.8759e+000 -2.1094e+000 -1.3061e+000 -1.1638e+000 +1.9305e+000 +4.5923e+000 -6.8688e-001 -1.6380e+000 -2.4063e+000 +4.4063e+000 -4.4122e+000 -3.6468e+000 -1.0142e+000 -3.7631e+000
6 +3.420763927e+001 +3.420763927e+001 -2.427236073e+001 -2.427236073e+001 -2.0782e+000 +1.4396e+000 +1.7693e+000 -2.6974e+000 -2.4677e+000 +4.4428e+000 +3.9289e+000 -3.1100e+000 -7.9539e-001 +4.7836e-001 -2.4529e+000 -3.3609e+000 +3.3974e+000 -2.2850e-001 -1.9083e+000 +3.0208e-001 -4.4708e+000 -1.9200e+000 +1.8884e+000 -2.9417e-001
27 +2.502776202e+001 +2.502776202e+001 -3.345223798e+001 -3.345223798e+001 -3.1485e+000 -3.8293e+000 +4.6128e-001 -3.8321e+000 -1.5941e+000 -2.1791e+000 +6.3174e-001 -1.3873e+000 -3.2298e+000 +8.4549e-001 -9.0456e-002 -3.8217e+000 -9.3194e-001 -9.6731e-001 +2.4662e+000 +1.5553e+000 +7.0197e-001 +2.1169e-001 +2.3654e+000 +4.7920e+000
218 +1.287715551e+001 +1.287715551e+001 -4.560284449e+001 -4.560284449e+001 +1.1230e+000 -1.5726e+000 +2.5968e+000 -2.2724e+000 +2.3291e+000 -1.4478e-001 +1.8864e+000 +1.3654e+000 -2.0037e-001 -2.4873e+000 +7.7228e-002 +1.5886e-002 -6.3702e-001 -1.7536e+000 -5.9483e-001 +7.2410e-001 -1.1720e+000 -6.7578e-001 +8.6861e-001 -9.4282e-001
333 +9.456606903e+000 +9.456606903e+000 -4.902339310e+001 -4.902339310e+001 -1.6609e+000 -2.4919e-001 +3.4822e+000 -2.5571e+000 +2.4888e+000 -8.8479e-001 +3.7051e-001 -1.7387e-001 +1.6824e+000 -6.3126e-001 +7.4614e-001 +1.1959e-001 -2.4059e+000 +2.4943e-001 +9.9450e-001 +7.8898e-001 -2.2238e-001 -9.5800e-001 +1.3744e+000 -2.6537e-001
3109 +6.007483226e+000 +6.007483226e+000 -5.247251677e+001 -5.247251677e+001 -5.2746e-001 +1.7029e+000 +1.2861e+000 -1.4633e+000 +2.5267e+000 -1.8741e+000 +5.9677e-001 +1.1207e+000 +8.6045e-002 +4.0785e-001 -3.0145e-001 +1.4186e+000 -1.0980e+000 +4.5761e-001 -3.0068e-001 -5.1163e-001 -1.3185e+000 -9.7481e-002 +1.1112e+000 -1.7217e-001
% function evaluation | noise-free fitness - Fopt (-6.130800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.543244966e+001 +5.543244966e+001 -5.576475503e+002 -5.576475503e+002 +4.9912e+000 -4.4449e+000 -7.1514e-001 -4.6069e+000 +9.1944e-001 -4.7451e+000 +2.6483e-001 -2.7880e+000 +3.0587e+000 +2.7458e+000 -3.9089e+000 +1.8619e+000 +1.4555e+000 +5.2064e-001 -2.2377e+000 +2.9329e+000 -3.4792e+000 -2.7713e+000 +3.7513e+000 -6.0477e-001
10 +3.945806553e+001 +3.945806553e+001 -5.736219345e+002 -5.736219345e+002 +4.5797e+000 -1.7531e+000 -2.6679e+000 +2.3183e-001 -9.7044e-001 -6.2819e-001 +3.3067e+000 +1.2944e-001 +3.5497e-001 +2.6513e+000 +3.6163e+000 +3.3812e-001 -1.0147e+000 +2.0596e+000 -4.3697e+000 -1.3314e+000 -4.0331e+000 -1.7448e-001 -4.4022e+000 +3.2353e+000
28 +2.182659299e+001 +2.182659299e+001 -5.912534070e+002 -5.912534070e+002 -1.7581e+000 -6.2675e-001 -1.0418e+000 -2.1056e+000 -2.4075e+000 +1.0233e-001 +8.2358e-001 +5.5779e-001 -3.0145e+000 +1.7534e+000 +2.2151e+000 +4.9674e+000 -1.9315e+000 +2.4821e+000 -6.5381e-002 -2.7934e+000 -1.3060e+000 -2.7003e+000 -1.3168e-001 -3.3684e+000
183 +1.516407062e+001 +1.516407062e+001 -5.979159294e+002 -5.979159294e+002 -3.7974e+000 -2.0348e+000 -3.5616e+000 +5.4510e-001 +3.4441e+000 +1.3080e-001 +1.1041e+000 +1.8491e+000 -1.9595e-001 +3.3346e-001 -1.7992e+000 -1.8996e+000 -2.5411e+000 +3.0661e+000 -2.0019e+000 -1.8844e-003 -1.8838e+000 -2.7871e+000 -1.2537e+000 -1.0894e+000
466 +9.280628429e+000 +9.280628429e+000 -6.037993716e+002 -6.037993716e+002 -3.6551e-001 +2.8522e-001 -2.2024e+000 -3.1966e-001 +1.0828e+000 +1.3766e+000 +2.2695e+000 +1.5649e+000 -5.2551e-001 +3.5105e+000 +3.7998e-001 +9.6231e-001 +1.7315e-001 +7.7510e-001 -9.3180e-001 +3.4520e-001 -9.3174e-002 +8.0941e-001 +7.4086e-002 +2.3261e+000
2147 +5.904935348e+000 +5.904935348e+000 -6.071750647e+002 -6.071750647e+002 -9.5688e-001 -1.0168e+000 -1.6374e+000 +8.5330e-001 +1.3425e+000 +1.0647e+000 +8.8688e-002 +4.6596e-002 +3.8387e-001 +1.6726e+000 +5.8625e-001 +3.8006e-001 +4.5270e-001 +1.0086e-002 -1.2603e+000 +1.1184e+000 -7.9759e-001 -3.0530e+000 +6.1581e-001 +1.9674e+000
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.199722692e+001 +4.199722692e+001 -9.580027731e+002 -9.580027731e+002 -3.4183e+000 +6.1409e-001 +1.5460e+000 -2.0720e+000 -2.0963e+000 +7.8697e-001 +3.7964e+000 -9.6618e-001 +2.0016e+000 -1.3807e-001 +1.0129e+000 +3.0689e+000 +2.1539e+000 +2.9817e+000 +8.2703e-001 +4.6704e+000 -3.1625e+000 -4.6378e-001 +2.1546e+000 -4.9126e+000
18 +3.324083640e+001 +3.324083640e+001 -9.667591636e+002 -9.667591636e+002 -1.8842e+000 -5.8828e-001 +8.2232e-001 -4.0641e+000 +4.3206e+000 +4.0202e+000 -2.2719e+000 -3.0091e+000 -1.4359e+000 +4.3389e+000 +4.0687e+000 +4.8249e+000 +7.2300e-001 +1.0449e+000 +3.7651e+000 -2.8206e+000 -1.1879e+000 +4.1540e+000 +2.2266e-001 +1.8316e+000
78 +2.410803503e+001 +2.410803503e+001 -9.758919650e+002 -9.758919650e+002 -8.5189e-001 -2.0732e+000 +3.7942e+000 +1.3266e+000 +5.4749e-001 +5.6770e+000 -8.3760e-002 -1.6026e+000 -4.6081e-001 -5.5351e-001 +5.3570e+000 +3.6895e+000 -6.2384e-001 +6.1645e-001 +6.3061e+000 -1.3351e+000 +2.4210e+000 +4.4033e+000 -6.5674e-001 +3.4689e+000
173 +1.450656057e+001 +1.450656057e+001 -9.854934394e+002 -9.854934394e+002 -8.0363e-001 +1.3551e+000 -1.4680e+000 -3.6289e-001 -3.0212e+000 +7.0089e-001 -1.5329e+000 +3.3778e-001 +2.3325e+000 -1.9327e-001 +1.1932e+000 +3.1802e+000 -3.1122e-002 -1.0845e-002 +2.0609e+000 -2.1861e+000 +4.2329e-001 +8.3021e-001 -1.4319e+000 -1.7609e+000
389 +8.331583160e+000 +8.331583160e+000 -9.916684168e+002 -9.916684168e+002 -5.5609e-001 -1.1822e+000 +2.4760e+000 -1.0996e+000 -1.8047e+000 +1.3901e+000 -2.6825e+000 -1.4416e+000 +7.3920e-001 -4.9160e-001 +1.6919e+000 +3.6854e+000 +1.9017e+000 -1.9053e+000 +3.2349e+000 -1.1977e+000 +1.4418e+000 +9.6494e-001 -5.2621e-001 +1.8193e+000
6779 +6.214311627e+000 +6.214311627e+000 -9.937856884e+002 -9.937856884e+002 -1.1129e+000 -1.3514e+000 +4.6803e-001 -1.6422e+000 -2.0382e+000 +2.0104e+000 -2.3680e+000 -2.0103e+000 +2.0939e+000 +1.2041e+000 +1.6248e+000 +8.7900e-001 +8.6933e-001 -4.4360e-002 +2.4800e+000 +7.5174e-001 +1.3172e+000 +1.2357e+000 +1.1256e-001 +1.5069e+000
% function evaluation | noise-free fitness - Fopt (-4.841800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.442472548e+001 +8.442472548e+001 -3.997552745e+002 -3.997552745e+002 +3.0259e+000 -1.4095e-001 -1.2104e+000 +2.6758e+000 +2.0806e+000 +3.9199e+000 -3.0975e+000 +2.3622e+000 +2.2239e+000 -2.5817e+000 -4.4522e+000 +2.0411e+000 +2.8084e+000 -3.4379e+000 -4.2594e+000 +5.2644e-001 +1.0162e-001 +3.7849e+000 +2.5807e+000 +4.7364e+000
3 +3.248222380e+001 +3.248222380e+001 -4.516977762e+002 -4.516977762e+002 -2.8445e+000 -1.2301e+000 -4.6535e-001 -7.5485e-001 -1.9005e+000 -1.1791e+000 +2.9131e-001 -2.1335e+000 +3.5456e+000 -2.3829e+000 +9.2695e-001 -3.0952e+000 +2.5534e+000 +4.9114e+000 -1.8991e+000 -3.2042e+000 +1.5595e+000 -2.7504e+000 +2.7072e+000 +3.1482e+000
38 +1.726082686e+001 +1.726082686e+001 -4.669191731e+002 -4.669191731e+002 +3.7599e-001 +1.4329e+000 -4.6280e-002 -3.1452e+000 -4.2440e-002 -1.0923e+000 +1.6273e-002 +1.5496e+000 -3.6082e+000 +2.7561e+000 -3.2283e+000 +9.5502e-001 -3.1773e+000 -4.7634e+000 +2.5704e+000 +3.0924e+000 -4.4059e-001 -2.2276e+000 +8.9580e-001 +1.3692e+000
197 +1.169644699e+001 +1.169644699e+001 -4.724835530e+002 -4.724835530e+002 +6.8188e-001 +6.7498e-001 +4.9855e-001 -3.5617e+000 -6.6114e-001 -9.7936e-001 +2.6240e-001 +1.2660e+000 -3.5503e+000 +2.6395e+000 -2.8753e+000 -4.5965e-002 -1.5730e+000 -2.7755e+000 +1.6293e+000 +2.0461e+000 -3.4220e-001 -1.3707e+000 -2.3743e-001 +1.9280e+000
290 +9.225327881e+000 +9.225327881e+000 -4.749546721e+002 -4.749546721e+002 -2.2231e+000 -1.6434e+000 -2.4388e-001 -2.3717e+000 +4.2950e-001 -1.6532e-001 -2.1578e+000 +8.2150e-001 -3.9329e-001 +1.7132e+000 -7.9256e-002 +1.2786e+000 +1.1363e+000 -2.8456e+000 +1.7731e+000 +1.5943e+000 +1.1596e-003 -1.6827e+000 -9.5751e-001 +1.6352e+000
1927 +6.156331863e+000 +6.156331863e+000 -4.780236681e+002 -4.780236681e+002 +9.2885e-001 +2.3004e+000 +2.0484e-001 -9.9079e-001 +1.1230e+000 +1.1275e+000 +4.5007e-001 +1.6711e+000 +9.2370e-001 +1.2766e+000 +5.4453e-001 +7.7247e-001 +7.5016e-001 -1.2125e+000 +1.0446e+000 +8.4564e-001 -4.0780e-001 -1.7423e+000 -1.9299e+000 +7.9361e-001
% function evaluation | noise-free fitness - Fopt (-2.504000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.986250040e+001 +2.986250040e+001 +4.822500402e+000 +4.822500402e+000 -4.5295e+000 -1.9896e+000 +2.7188e-001 +1.5294e+000 +9.7945e-001 +4.4953e+000 -4.3973e+000 -3.0916e+000 -1.3587e-001 +2.1978e+000 +2.3490e+000 -5.2196e-001 -1.0878e+000 -1.7296e+000 -2.5902e+000 -4.1367e-001 +3.4941e+000 -3.8325e+000 +1.9167e+000 +1.9539e-001
104 +1.717223783e+001 +1.717223783e+001 -7.867762166e+000 -7.867762166e+000 -8.8260e-001 +1.2081e+000 -4.2125e+000 -1.6613e-001 +1.8372e-001 -7.4428e-001 +1.0113e+000 -2.6954e+000 -4.3258e-001 -1.2067e+000 +1.5572e+000 -3.0075e+000 +1.7724e+000 +5.2978e-001 +9.2884e-001 +3.2175e+000 +9.4900e-001 -3.6406e+000 -1.4946e+000 -1.8685e+000
199 +1.310924381e+001 +1.310924381e+001 -1.193075619e+001 -1.193075619e+001 -2.6564e+000 +7.4872e-001 -3.4420e+000 -2.0867e-001 +1.5391e+000 -1.3045e+000 +1.8256e+000 -5.7362e-001 -7.7771e-001 -3.1583e+000 +6.5831e-001 -1.9433e+000 +1.4326e+000 +1.1188e+000 -1.3048e+000 +3.6098e+000 +7.1040e-001 -1.5459e-001 +3.6443e-001 -1.1885e+000
800 +9.993042635e+000 +9.993042635e+000 -1.504695737e+001 -1.504695737e+001 +1.5351e-001 +1.8626e+000 +8.1397e-001 +8.0581e-001 +4.8389e-001 +2.3061e+000 -5.1070e-001 -3.5208e+000 +4.1338e-002 -6.2071e-001 +1.5588e+000 -2.0090e+000 -5.2636e-001 +3.5421e-001 -9.0559e-001 +4.7077e+000 +4.2757e-001 +4.9515e-001 +1.2183e+000 -2.4425e+000
3641 +6.061820308e+000 +6.061820308e+000 -1.897817969e+001 -1.897817969e+001 -1.0436e-001 +1.7923e+000 +3.6221e-001 +1.7667e+000 -6.9640e-001 +7.1129e-001 +4.4574e-001 -2.3641e+000 +7.4271e-001 +2.5238e-002 +4.2120e-001 +7.1487e-002 -6.5313e-001 -5.6494e-001 +9.4947e-001 +4.1697e-001 -3.8232e-001 +2.5525e-001 -3.4610e-001 +5.6528e-001
% function evaluation | noise-free fitness - Fopt (-1.411900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.085993286e+001 +4.085993286e+001 -1.003300671e+002 -1.003300671e+002 -4.3718e-001 +2.7486e+000 +3.0675e+000 +3.5955e-001 +2.0904e+000 -1.7985e+000 -3.2802e+000 +3.7875e+000 -3.2424e+000 -9.3689e-001 +2.0670e+000 -1.0138e+000 -3.0180e+000 -2.6738e+000 -3.3398e+000 -4.1402e+000 -3.2835e+000 -5.1931e-001 +1.8831e+000 +2.1734e+000
4 +3.226705844e+001 +3.226705844e+001 -1.089229416e+002 -1.089229416e+002 +9.2184e-001 -3.1505e+000 +1.0336e-001 +8.4740e-001 +2.0817e+000 -1.7744e+000 +8.2655e-001 -3.0206e+000 -3.3641e+000 +3.8009e+000 +2.6910e+000 +2.4353e+000 +4.5992e+000 -2.8729e+000 -3.4759e-001 +3.8920e+000 +2.6907e-001 +8.3465e-001 -2.9596e+000 +1.1808e+000
17 +2.163028804e+001 +2.163028804e+001 -1.195597120e+002 -1.195597120e+002 -9.9662e-001 -2.0512e+000 -1.5485e+000 -5.4314e-001 +1.7103e+000 -2.1259e-001 -2.1939e+000 -1.0691e-001 -3.6888e+000 +1.9640e+000 +2.0068e+000 -1.0489e+000 -1.8899e+000 -9.4290e-002 -3.8997e+000 -1.5715e+000 -2.1359e+000 +3.5498e-001 +2.5127e-001 +4.6528e+000
195 +1.565726970e+001 +1.565726970e+001 -1.255327303e+002 -1.255327303e+002 -4.3421e-001 -1.8390e+000 +4.7353e-001 -4.6526e-001 -4.2124e-001 +3.0227e+000 +1.8671e+000 +1.7019e+000 +1.3373e-001 +2.0902e+000 +1.8611e+000 +6.3844e-001 +8.1223e-001 -7.6807e-001 -1.1930e+000 +2.1664e+000 -2.5309e+000 +1.8169e+000 -6.7311e-001 -5.2180e-001
239 +7.403384168e+000 +7.403384168e+000 -1.337866158e+002 -1.337866158e+002 -1.0312e+000 -1.4754e+000 -3.6571e-001 +4.7553e-001 -1.0737e+000 +1.2846e+000 -1.5257e-001 +1.9759e-001 -1.0363e+000 -1.7836e-001 +2.6875e-001 -3.4323e-001 -6.2159e-002 -5.4320e-001 -2.9457e-001 +1.2719e+000 +3.3641e-001 -1.8900e-003 -3.3475e-001 +9.5453e-001
1056 +6.281879547e+000 +6.281879547e+000 -1.349081205e+002 -1.349081205e+002 -1.4601e+000 -1.9203e+000 -9.5196e-001 -2.2346e-001 +1.7421e+000 +4.5496e-001 +1.4486e+000 -1.5465e+000 -5.7917e-001 -1.1304e+000 +2.5160e-001 -9.5463e-001 -9.7777e-001 -6.0944e-001 -8.2987e-001 -6.0295e-001 +1.3826e+000 +1.2088e+000 +6.9656e-001 +1.1881e+000
% function evaluation | noise-free fitness - Fopt (4.889000000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.031616991e+001 +6.031616991e+001 +5.492161699e+002 +5.492161699e+002 +4.0574e+000 +4.9912e+000 +1.7648e+000 -1.1945e+000 +2.3880e+000 +1.6334e+000 +3.7937e+000 -1.8596e+000 +3.4022e+000 -1.7130e+000 +2.6955e+000 +6.5605e-001 -1.0209e+000 +1.7005e+000 +4.9226e+000 -1.6879e+000 +2.1217e+000 -4.5745e+000 -4.1162e+000 -4.5688e+000
16 +3.882178452e+001 +3.882178452e+001 +5.277217845e+002 +5.277217845e+002 -2.7472e+000 -1.3928e-002 +2.5739e+000 +3.1100e+000 -4.5570e+000 -2.0338e+000 -3.0225e+000 -1.3425e+000 +1.3403e+000 +3.9206e+000 -1.1671e+000 -2.2261e-001 -2.7401e+000 +3.6418e+000 +4.5721e+000 -3.0795e+000 -1.2295e+000 -2.6665e+000 -3.3018e+000 -3.5805e+000
38 +2.167256818e+001 +2.167256818e+001 +5.105725682e+002 +5.105725682e+002 -3.5610e+000 -4.0586e-001 -3.6097e+000 +5.2839e-001 -5.9192e-001 +4.0628e+000 -3.3936e+000 -9.2418e-001 +9.5689e-001 +1.8316e+000 +1.4472e+000 +1.4566e-001 +8.6489e-001 -1.6087e+000 -9.2720e-001 -2.1447e+000 +3.1161e+000 +1.0366e+000 -2.1235e+000 -2.7768e+000
117 +1.307838527e+001 +1.307838527e+001 +5.019783853e+002 +5.019783853e+002 +1.6678e-001 +4.8124e-001 -3.0685e+000 +1.8785e+000 -1.8213e-001 -3.3039e-001 -1.2553e+000 -2.8180e-001 +1.8643e+000 +1.6786e+000 +1.2288e+000 -6.8830e-001 -2.7515e+000 +1.5411e+000 -1.7253e-001 -9.3913e-001 +2.8964e-001 +1.9062e+000 -3.5369e+000 +1.8214e+000
345 +9.226488150e+000 +9.226488150e+000 +4.981264881e+002 +4.981264881e+002 +2.1874e+000 +3.0249e-001 -9.4229e-001 +1.4194e+000 +8.2472e-001 +9.4730e-001 -7.8626e-001 -5.0436e-001 +1.1904e+000 +5.7252e-001 +1.4321e+000 +1.2089e+000 -3.3412e+000 +7.1389e-001 +3.5850e-001 -7.6519e-001 +1.4278e+000 +2.8602e+000 -2.0663e+000 -3.2739e-001
