% function evaluation | noise-free fitness - Fopt (4.078000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.112062734e+003 +1.112062734e+003 +1.627462734e+003 +1.627462734e+003 +1.0863e+001 +1.0182e+001 +1.2539e+001 +1.4251e+001 +1.0656e+001 +1.3220e+001 +1.4162e+001 +6.1824e+000 +1.3874e+001 +1.3048e+001 +1.3487e+001 +1.2470e+001 +1.1070e+001 +1.4144e+001 +1.3899e+001 +1.4781e+001 +1.1765e+001 +7.6641e+000 +8.4404e+000 +7.3602e+000
3 +9.816216412e+002 +9.816216412e+002 +1.497021641e+003 +1.497021641e+003 +1.2531e+001 +8.0726e+000 +1.4061e+001 +1.3565e+001 +1.3187e+001 +1.1847e+001 +1.0539e+001 +1.0265e+001 +1.2750e+001 +8.5555e+000 +1.1421e+001 +1.4302e+001 +1.3623e+001 +8.4211e+000 +8.2197e+000 +7.2818e+000 +5.8882e+000 +1.3328e+001 +1.4556e+001 +1.1130e+001
9 +5.755644325e+002 +5.755644325e+002 +1.090964432e+003 +1.090964432e+003 +1.3471e+001 +6.1211e+000 +6.3625e+000 +1.2014e+001 +6.4407e+000 +1.1694e+001 +1.0552e+001 +1.3403e+001 +5.2310e+000 +1.4445e+001 +7.3447e+000 +8.4441e+000 +5.1188e+000 +1.0862e+001 +7.1447e+000 +9.9519e+000 +7.4581e+000 +9.0359e+000 +9.0772e+000 +7.7451e+000
176 +3.872904399e+002 +3.872904399e+002 +9.026904399e+002 +9.026904399e+002 +1.2748e+001 +8.2989e+000 +4.8030e+000 +6.7230e+000 +7.0073e+000 +8.3753e+000 +6.1625e+000 +8.7823e+000 +5.0233e+000 +1.3719e+000 +4.9696e+000 +1.3333e+001 +1.0455e+000 +9.4704e+000 +1.0927e+001 +9.0833e+000 +1.0795e+001 +6.5025e+000 +5.1543e+000 +9.3209e+000
588 +2.448433017e+002 +2.448433017e+002 +7.602433017e+002 +7.602433017e+002 +2.4173e+000 +5.2338e+000 +7.5424e+000 +7.9111e+000 +4.7368e+000 +7.2335e+000 +8.0967e+000 +9.6859e+000 +1.5470e+000 -9.5428e-001 +8.2929e+000 +5.0402e+000 +4.0135e+000 -5.7155e-001 +5.2668e+000 +1.1296e+001 +1.0244e+001 +1.0003e+001 +6.9144e+000 +4.9331e+000
747 +1.542457297e+002 +1.542457297e+002 +6.696457297e+002 +6.696457297e+002 +3.9508e+000 +3.8800e+000 +2.9324e+000 -9.3563e-001 +7.9501e+000 +1.0669e+000 +6.8087e+000 +7.7734e+000 +6.0900e+000 +1.4252e+000 -2.7576e+000 +5.5866e+000 +8.0581e+000 +2.5660e+000 +7.7694e+000 +9.1575e+000 +8.4552e+000 +3.7900e+000 +4.0911e+000 +5.4863e+000
1343 +9.533824093e+001 +9.533824093e+001 +6.107382409e+002 +6.107382409e+002 +4.3379e+000 +4.1639e+000 +2.5572e-001 +5.7187e+000 +5.5747e+000 -1.4586e+000 +5.9979e+000 +4.4655e-001 +1.6580e-001 -6.3808e-001 +6.2623e+000 +5.8029e+000 +4.6091e+000 +2.3961e+000 +7.1890e+000 -2.9559e+000 +3.6109e+000 +1.6602e+000 -1.5923e+000 +5.1410e+000
4540 +6.128464796e+001 +6.128464796e+001 +5.766846480e+002 +5.766846480e+002 -8.4157e-002 +2.6718e+000 +2.0824e+000 -9.6522e-001 +5.0321e+000 +3.2884e+000 -3.2800e+000 +6.0140e-001 -1.6867e+000 -4.6080e+000 +2.4145e+000 -1.0791e-001 +1.3755e+000 -2.0275e+000 -2.8677e+000 +2.9569e+000 -3.3486e+000 +1.5901e+000 +4.1541e+000 +2.7637e+000
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.138083593e+002 +8.138083593e+002 -1.861916407e+002 -1.861916407e+002 +1.2164e+001 +1.2400e+001 +5.8780e+000 +1.4034e+001 +7.2151e+000 +8.2374e+000 +6.0701e+000 +1.3982e+001 +6.6022e+000 +1.0575e+001 +1.0978e+001 +1.3824e+001 +1.0318e+001 +1.1539e+001 +1.0082e+001 +1.3037e+001 +8.7153e+000 +1.4088e+001 +5.7782e+000 +1.0990e+001
