% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
13882 +6.270709523e-002 +6.270709523e-002 +3.003270710e+001 +3.003270710e+001 +8.6635e-001 -1.7030e+000 -3.6647e+000 -1.9385e+000 +3.1128e+000 +3.3396e+000 -3.9423e+000 -2.8987e+000 +8.1561e-001 -1.7882e+000 +1.2553e+000 -1.6792e+000 +3.9947e+000 +2.3628e+000 -1.5122e+000 +2.6809e+000 -2.6247e+000 -9.1636e-001 +1.5207e+000 -3.3372e+000
14725 +3.769463537e-002 +3.769463537e-002 +3.000769464e+001 +3.000769464e+001 +8.6647e-001 -1.7030e+000 -3.6648e+000 -1.9386e+000 +3.1130e+000 +3.3396e+000 -3.9422e+000 -2.8987e+000 +8.1568e-001 -1.7885e+000 +1.2553e+000 -1.6792e+000 +3.9946e+000 +2.3628e+000 -1.5122e+000 +2.6809e+000 -2.6246e+000 -9.1627e-001 +1.5208e+000 -3.3371e+000
15207 +2.456656642e-002 +2.456656642e-002 +2.999456657e+001 +2.999456657e+001 +8.6646e-001 -1.7030e+000 -3.6648e+000 -1.9386e+000 +3.1130e+000 +3.3397e+000 -3.9422e+000 -2.8986e+000 +8.1560e-001 -1.7886e+000 +1.2552e+000 -1.6793e+000 +3.9946e+000 +2.3629e+000 -1.5122e+000 +2.6809e+000 -2.6247e+000 -9.1622e-001 +1.5209e+000 -3.3372e+000
15811 +1.579536034e-002 +1.579536034e-002 +2.998579536e+001 +2.998579536e+001 +8.6642e-001 -1.7030e+000 -3.6648e+000 -1.9386e+000 +3.1130e+000 +3.3397e+000 -3.9422e+000 -2.8986e+000 +8.1559e-001 -1.7885e+000 +1.2553e+000 -1.6793e+000 +3.9946e+000 +2.3629e+000 -1.5122e+000 +2.6809e+000 -2.6247e+000 -9.1630e-001 +1.5209e+000 -3.3372e+000
16963 +9.707529556e-003 +9.707529556e-003 +2.997970753e+001 +2.997970753e+001 +8.6642e-001 -1.7030e+000 -3.6648e+000 -1.9386e+000 +3.1130e+000 +3.3397e+000 -3.9422e+000 -2.8986e+000 +8.1560e-001 -1.7885e+000 +1.2553e+000 -1.6793e+000 +3.9946e+000 +2.3629e+000 -1.5122e+000 +2.6809e+000 -2.6247e+000 -9.1626e-001 +1.5208e+000 -3.3372e+000
18299 +6.047277003e-003 +6.047277003e-003 +2.997604728e+001 +2.997604728e+001 +8.6642e-001 -1.7030e+000 -3.6648e+000 -1.9386e+000 +3.1130e+000 +3.3397e+000 -3.9422e+000 -2.8986e+000 +8.1558e-001 -1.7885e+000 +1.2552e+000 -1.6793e+000 +3.9945e+000 +2.3629e+000 -1.5122e+000 +2.6809e+000 -2.6247e+000 -9.1626e-001 +1.5209e+000 -3.3372e+000
21667 +3.975732162e-003 +3.975732162e-003 +2.997397573e+001 +2.997397573e+001 +8.6642e-001 -1.7030e+000 -3.6648e+000 -1.9386e+000 +3.1130e+000 +3.3397e+000 -3.9422e+000 -2.8986e+000 +8.1559e-001 -1.7885e+000 +1.2553e+000 -1.6793e+000 +3.9945e+000 +2.3629e+000 -1.5122e+000 +2.6809e+000 -2.6247e+000 -9.1625e-001 +1.5209e+000 -3.3372e+000
2079486 +2.433655933e-003 +2.433655933e-003 +2.997243366e+001 +2.997243366e+001 +8.7243e-001 -1.7037e+000 -3.6618e+000 -1.9409e+000 +3.1116e+000 +3.3315e+000 -3.9478e+000 -2.9081e+000 +8.0566e-001 -1.7911e+000 +1.2462e+000 -1.6720e+000 +3.9896e+000 +2.3601e+000 -1.5103e+000 +2.6826e+000 -2.6332e+000 -9.0160e-001 +1.5232e+000 -3.3429e+000
2080036 +1.508590605e-003 +1.508590605e-003 +2.997150859e+001 +2.997150859e+001 +8.7243e-001 -1.7037e+000 -3.6618e+000 -1.9408e+000 +3.1116e+000 +3.3315e+000 -3.9478e+000 -2.9081e+000 +8.0566e-001 -1.7911e+000 +1.2462e+000 -1.6720e+000 +3.9896e+000 +2.3601e+000 -1.5103e+000 +2.6826e+000 -2.6332e+000 -9.0160e-001 +1.5232e+000 -3.3429e+000
2080852 +9.698115795e-004 +9.698115795e-004 +2.997096981e+001 +2.997096981e+001 +8.7243e-001 -1.7038e+000 -3.6618e+000 -1.9409e+000 +3.1116e+000 +3.3315e+000 -3.9478e+000 -2.9081e+000 +8.0566e-001 -1.7911e+000 +1.2462e+000 -1.6720e+000 +3.9896e+000 +2.3601e+000 -1.5103e+000 +2.6826e+000 -2.6332e+000 -9.0160e-001 +1.5232e+000 -3.3429e+000
2081535 +6.148237804e-004 +6.148237804e-004 +2.997061482e+001 +2.997061482e+001 +8.7243e-001 -1.7038e+000 -3.6618e+000 -1.9409e+000 +3.1116e+000 +3.3315e+000 -3.9478e+000 -2.9081e+000 +8.0566e-001 -1.7911e+000 +1.2462e+000 -1.6720e+000 +3.9896e+000 +2.3601e+000 -1.5103e+000 +2.6826e+000 -2.6332e+000 -9.0160e-001 +1.5232e+000 -3.3429e+000
2082383 +3.880273124e-004 +3.880273124e-004 +2.997038803e+001 +2.997038803e+001 +8.7243e-001 -1.7038e+000 -3.6618e+000 -1.9409e+000 +3.1116e+000 +3.3315e+000 -3.9478e+000 -2.9081e+000 +8.0566e-001 -1.7911e+000 +1.2462e+000 -1.6720e+000 +3.9896e+000 +2.3601e+000 -1.5103e+000 +2.6826e+000 -2.6332e+000 -9.0160e-001 +1.5232e+000 -3.3429e+000
2085197 +2.510134329e-004 +2.510134329e-004 +2.997025101e+001 +2.997025101e+001 +8.7243e-001 -1.7038e+000 -3.6618e+000 -1.9408e+000 +3.1116e+000 +3.3315e+000 -3.9478e+000 -2.9081e+000 +8.0566e-001 -1.7911e+000 +1.2462e+000 -1.6720e+000 +3.9896e+000 +2.3601e+000 -1.5103e+000 +2.6826e+000 -2.6332e+000 -9.0160e-001 +1.5232e+000 -3.3429e+000
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.291551064e+003 +3.291551064e+003 +3.239841064e+003 +3.239841064e+003 -1.9712e+000 -1.9557e+000 +3.4783e+000 -3.1010e+000 +3.5032e+000 +1.2855e+000 +3.9241e+000 +1.0922e+000 -4.4590e+000 +1.5164e+000 +4.8033e+000 +3.5978e+000 -1.7906e+000 +1.6540e+000 +4.5118e+000 -3.3868e+000 +3.6536e+000 +1.7459e-001 +3.4407e+000 +4.5800e+000
58 +2.156652269e+003 +2.156652269e+003 +2.104942269e+003 +2.104942269e+003 +4.2861e+000 -1.1485e+000 -3.9567e+000 -5.7054e+000 -2.8432e+000 +3.6881e+000 +2.5689e+000 -1.0681e+000 -1.7831e+000 +1.4495e+000 +7.8328e-001 +1.5961e-001 -2.9187e+000 +4.8287e+000 -3.1981e+000 +1.6195e+000 -2.8606e+000 +2.7476e+000 +1.9425e+000 +6.5028e+000
472 +1.428784569e+003 +1.428784569e+003 +1.377074569e+003 +1.377074569e+003 +3.7950e+000 +1.8004e+000 -1.8768e+000 -7.9015e+000 -1.3863e+000 +2.3349e+000 -1.8582e+000 +9.8733e-001 -4.3856e+000 +3.2012e+000 +2.7431e+000 +1.1807e+000 +2.0382e+000 -6.8302e-001 -5.8100e+000 +4.9782e+000 -6.0373e+000 +3.3211e+000 +3.7780e+000 +3.2233e-001
1033 +9.615039754e+002 +9.615039754e+002 +9.097939754e+002 +9.097939754e+002 +2.4399e+000 +1.3043e+000 -1.7057e+000 -5.2288e+000 +2.6542e+000 +2.1768e+000 -3.0085e+000 +2.5388e+000 -2.0814e+000 +2.0721e+000 +2.3152e+000 +1.0964e-001 +2.6109e+000 -6.6294e-001 -2.1822e+000 +1.6120e+000 -5.3671e+000 +3.8533e+000 +4.9289e+000 +1.7219e+000
1626 +6.295725678e+002 +6.295725678e+002 +5.778625678e+002 +5.778625678e+002 +3.8725e+000 +2.7429e+000 -3.4425e+000 -3.8640e+000 +2.0748e+000 +1.7473e+000 -4.2828e+000 +3.3890e+000 -2.7637e+000 +4.8479e-001 +3.5624e+000 +5.4802e-001 +4.0199e+000 -8.1411e-001 -3.2090e+000 +2.0456e+000 -3.7455e+000 +4.6733e+000 +3.3653e+000 +1.7328e+000
2144 +3.979434654e+002 +3.979434654e+002 +3.462334654e+002 +3.462334654e+002 +3.5932e+000 +2.7894e+000 -3.3118e+000 -3.6816e+000 +1.1794e+000 +2.0111e-001 -3.0459e+000 +2.2817e+000 -3.7272e+000 +1.0588e-001 +4.1743e+000 +1.5110e+000 +3.6173e+000 -2.9987e-001 -3.4916e+000 +2.5768e+000 -5.1599e+000 +3.5320e+000 +2.0665e+000 +2.6444e+000
2729 +2.428676094e+002 +2.428676094e+002 +1.911576094e+002 +1.911576094e+002 +3.3451e+000 +3.0514e+000 -3.5226e+000 -4.0908e+000 +1.5179e+000 +9.2189e-001 -3.7690e+000 +2.7349e+000 -3.1199e+000 +4.9256e-001 +3.6153e+000 +1.8815e+000 +3.4226e+000 -8.3222e-001 -3.9232e+000 +2.1535e+000 -5.0916e+000 +4.2968e+000 +1.6522e+000 +2.8439e+000
3409 +1.392809416e+002 +1.392809416e+002 +8.757094160e+001 +8.757094160e+001 +3.1020e+000 +2.7262e+000 -3.7524e+000 -3.8885e+000 +1.4101e+000 +1.2297e+000 -3.5159e+000 +2.8912e+000 -2.9993e+000 +6.0371e-001 +3.9795e+000 +1.8223e+000 +2.8578e+000 -6.2567e-001 -3.4243e+000 +2.3809e+000 -4.9644e+000 +3.9154e+000 +1.7018e+000 +3.2794e+000
