% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.031766440e+003 +4.031766440e+003 +3.980056440e+003 +3.980056440e+003 -4.8881e+000 -3.9751e+000 +7.0820e-001 +3.4103e+000 -3.0031e+000 -6.2636e-001 -4.0097e+000 +1.6919e+000 +5.8965e-001 +2.9332e+000 +2.2087e+000 +4.6269e+000 -3.3255e+000 +4.0742e+000 +1.0664e+000 -4.8012e+000 +3.2669e+000 -1.5081e+000 -4.9571e+000 +4.2432e+000
3 +3.107282649e+003 +3.107282649e+003 +3.055572649e+003 +3.055572649e+003 -1.9192e+000 +4.1119e+000 +4.1237e+000 -4.9016e+000 +2.5133e+000 -8.3463e-001 -1.7256e+000 +2.1534e+000 +1.0051e+000 -1.5361e+000 -3.3307e+000 +3.1821e+000 -4.0037e+000 -1.9513e+000 +4.5890e+000 +1.3016e+000 +2.4581e+000 +4.6849e+000 +1.2674e+000 +5.0166e-001
27 +2.034902779e+003 +2.034902779e+003 +1.983192779e+003 +1.983192779e+003 +3.5031e+000 +1.9009e+000 -3.4291e+000 -4.7464e+000 +3.1514e+000 +2.8245e+000 -2.9138e+000 +2.8739e+000 -2.0455e+000 -1.3345e+000 -1.2826e+000 +4.7666e+000 -2.3145e+000 +1.9332e+000 +1.0528e+000 +2.3162e+000 +9.3077e-001 -2.2007e+000 +2.6440e+000 +1.3339e+000
492 +1.499360843e+003 +1.499360843e+003 +1.447650843e+003 +1.447650843e+003 +4.4374e+000 +3.7758e+000 -1.9358e+000 -5.1828e+000 +8.2619e-001 +5.0124e+000 -2.0900e+000 +1.7103e+000 -3.7599e+000 -1.7874e-001 -1.7881e-001 +4.3429e+000 -1.5354e+000 +1.8634e+000 -3.5831e-001 +2.8069e+000 -4.2503e+000 +4.3449e-001 +1.9735e+000 +5.1058e+000
714 +9.513993972e+002 +9.513993972e+002 +8.996893972e+002 +8.996893972e+002 +3.8438e+000 +5.0891e+000 -1.9937e+000 -3.8125e+000 +1.3961e+000 +3.0464e+000 -1.8904e+000 +3.3437e+000 -2.9461e+000 +1.9642e-001 -2.5179e-001 +2.8354e+000 +1.8085e+000 +1.0657e+000 -2.8591e+000 +4.0159e+000 -5.2499e+000 +4.0112e+000 +1.8404e+000 +3.6309e+000
1243 +5.740257028e+002 +5.740257028e+002 +5.223157028e+002 +5.223157028e+002 +2.2977e+000 +2.9395e+000 -3.2412e+000 -4.1246e+000 +1.7042e+000 +1.6043e+000 -3.9032e+000 +4.4470e+000 -4.1500e+000 +1.7245e+000 +2.3726e+000 +2.4384e+000 +4.1864e+000 +1.4816e+000 -2.5900e+000 +2.9770e+000 -1.9494e+000 +3.7284e+000 +1.1916e+000 +3.0184e+000
1784 +3.843096861e+002 +3.843096861e+002 +3.325996861e+002 +3.325996861e+002 +2.4518e+000 +2.6135e+000 -3.7514e+000 -4.1201e+000 +1.8054e+000 +2.0194e+000 -3.1426e+000 +3.7123e+000 -3.6236e+000 +5.3214e-001 +2.9643e+000 +1.7946e+000 +2.9520e+000 +5.7389e-001 -2.5967e+000 +2.3663e+000 -2.4144e+000 +3.0740e+000 +1.2938e+000 +2.8702e+000
2387 +2.416302298e+002 +2.416302298e+002 +1.899202298e+002 +1.899202298e+002 +2.5384e+000 +2.9212e+000 -4.1156e+000 -3.9074e+000 +1.4145e+000 +2.2214e+000 -2.8276e+000 +3.9224e+000 -3.6021e+000 +5.2106e-001 +3.3961e+000 +1.9267e+000 +2.9608e+000 +4.5847e-001 -3.0308e+000 +3.3812e+000 -4.0213e+000 +3.3516e+000 +1.4761e+000 +3.1620e+000
2925 +1.437539570e+002 +1.437539570e+002 +9.204395703e+001 +9.204395703e+001 +2.8368e+000 +2.6929e+000 -3.5787e+000 -3.6724e+000 +1.3403e+000 +1.4906e+000 -3.1842e+000 +3.2178e+000 -3.5296e+000 +4.7085e-001 +3.9173e+000 +1.6620e+000 +2.8131e+000 -8.2722e-003 -2.9726e+000 +2.7293e+000 -3.8456e+000 +3.2865e+000 +1.5240e+000 +3.1725e+000
3648 +9.579882307e+001 +9.579882307e+001 +4.408882307e+001 +4.408882307e+001 +2.5471e+000 +2.9355e+000 -3.3992e+000 -3.8561e+000 +1.2244e+000 +1.5665e+000 -3.3686e+000 +3.0892e+000 -3.4544e+000 +3.9589e-001 +4.0562e+000 +2.1024e+000 +2.8571e+000 +4.4828e-002 -2.9676e+000 +2.9754e+000 -4.0573e+000 +3.4364e+000 +1.5765e+000 +3.3691e+000
4183 +6.050463617e+001 +6.050463617e+001 +8.794636168e+000 +8.794636168e+000 +2.5198e+000 +2.8723e+000 -3.3606e+000 -3.8182e+000 +1.1123e+000 +1.4464e+000 -3.6000e+000 +3.1737e+000 -3.4093e+000 +3.0480e-001 +3.9963e+000 +1.9202e+000 +2.9222e+000 +2.3460e-001 -3.0221e+000 +3.1804e+000 -4.0320e+000 +3.2874e+000 +1.6015e+000 +3.4048e+000
5273 +3.979833199e+001 +3.979833199e+001 -1.191166801e+001 -1.191166801e+001 +2.6639e+000 +2.9603e+000 -3.4599e+000 -3.8558e+000 +1.1261e+000 +1.5032e+000 -3.5138e+000 +3.1713e+000 -3.4786e+000 +2.9771e-001 +3.9783e+000 +2.0228e+000 +3.0493e+000 +3.5763e-001 -3.0148e+000 +3.2698e+000 -4.1989e+000 +3.3658e+000 +1.6081e+000 +3.4025e+000
6103 +2.430084840e+001 +2.430084840e+001 -2.740915160e+001 -2.740915160e+001 +2.6634e+000 +2.9828e+000 -3.4258e+000 -3.8158e+000 +1.1401e+000 +1.5741e+000 -3.5680e+000 +3.0860e+000 -3.4230e+000 +2.5070e-001 +3.9662e+000 +1.9770e+000 +3.1036e+000 +3.0308e-001 -3.0531e+000 +3.2532e+000 -4.2568e+000 +3.4301e+000 +1.6155e+000 +3.3699e+000
7230 +1.584425176e+001 +1.584425176e+001 -3.586574824e+001 -3.586574824e+001 +2.6986e+000 +2.9118e+000 -3.4358e+000 -3.8342e+000 +1.1623e+000 +1.5817e+000 -3.5284e+000 +3.0004e+000 -3.4113e+000 +2.2593e-001 +4.0151e+000 +1.9375e+000 +3.1142e+000 +2.7537e-001 -3.0723e+000 +3.1216e+000 -4.2925e+000 +3.4600e+000 +1.6792e+000 +3.3247e+000
7972 +9.914883312e+000 +9.914883312e+000 -4.179511669e+001 -4.179511669e+001 +2.6813e+000 +2.9271e+000 -3.4230e+000 -3.8267e+000 +1.1529e+000 +1.5778e+000 -3.5338e+000 +3.0203e+000 -3.4314e+000 +2.4481e-001 +4.0017e+000 +1.9418e+000 +3.1201e+000 +2.5389e-001 -3.0746e+000 +3.1554e+000 -4.2777e+000 +3.4655e+000 +1.6764e+000 +3.2771e+000
8990 +5.923339989e+000 +5.923339989e+000 -4.578666001e+001 -4.578666001e+001 +2.6797e+000 +2.9128e+000 -3.4062e+000 -3.8236e+000 +1.1625e+000 +1.5742e+000 -3.5392e+000 +3.0342e+000 -3.4368e+000 +2.4154e-001 +4.0008e+000 +1.9489e+000 +3.1082e+000 +2.6842e-001 -3.0647e+000 +3.1700e+000 -4.2856e+000 +3.4593e+000 +1.6782e+000 +3.2640e+000
10320 +3.866961798e+000 +3.866961798e+000 -4.784303820e+001 -4.784303820e+001 +2.6788e+000 +2.9254e+000 -3.4073e+000 -3.8201e+000 +1.1640e+000 +1.5781e+000 -3.5325e+000 +3.0402e+000 -3.4350e+000 +2.4095e-001 +3.9979e+000 +1.9411e+000 +3.0994e+000 +2.6947e-001 -3.0616e+000 +3.1658e+000 -4.2832e+000 +3.4560e+000 +1.6861e+000 +3.2643e+000
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.961029932e+003 +2.961029932e+003 +2.681079932e+003 +2.681079932e+003 +2.7568e-001 +3.6735e+000 +3.7572e+000 -4.6850e-001 -4.1398e+000 -4.5688e+000 +6.5100e-001 +1.0415e+000 -4.1476e+000 -1.3895e+000 +3.0244e+000 +2.1967e+000 +2.7596e+000 +4.6547e+000 +2.1456e+000 +1.0711e+000 +7.6662e-001 +4.9819e+000 +3.8779e+000 +3.1691e+000
26 +2.400788005e+003 +2.400788005e+003 +2.120838005e+003 +2.120838005e+003 +1.9618e-001 +4.6598e+000 +2.3405e+000 +7.0642e-001 -3.2630e+000 +6.4404e-001 -2.5665e+000 +4.5199e-002 -3.2653e-002 +3.8202e+000 +7.4111e-001 -2.1168e+000 +1.7272e+000 +1.2838e-001 +2.5941e+000 +1.7402e+000 +3.2702e-001 -1.1964e+000 -3.8175e+000 +8.9682e-001
505 +1.567224451e+003 +1.567224451e+003 +1.287274451e+003 +1.287274451e+003 -3.2970e+000 -1.3211e+000 +1.2178e+000 -4.1158e+000 -6.7823e+000 -2.8179e+000 +3.2870e+000 -3.8548e+000 +5.1668e+000 -3.0876e+000 -2.1575e+000 +2.2686e-001 -1.7472e+000 -2.1760e+000 +4.5090e+000 -9.6196e-001 +1.3775e+000 -5.6680e-001 +1.0910e+000 +1.3118e+000
1292 +9.010500352e+002 +9.010500352e+002 +6.211000352e+002 +6.211000352e+002 -1.8510e+000 -3.5155e+000 +3.9716e+000 -9.9171e-001 -4.1927e+000 -4.2021e+000 -2.5340e+000 +2.2097e+000 +2.3917e+000 -3.7686e+000 -2.0492e+000 +1.0122e+000 -4.2220e+000 -2.9614e+000 +2.1187e+000 +2.7010e+000 +8.9138e-001 +1.8717e+000 +9.4779e-001 +2.5215e+000
1868 +6.257788970e+002 +6.257788970e+002 +3.458288970e+002 +3.458288970e+002 -2.3864e+000 -3.2530e+000 +4.1353e+000 -1.8798e+000 -5.5028e+000 -1.7740e+000 -7.1229e-001 -3.6959e-001 +4.0400e+000 -1.7357e+000 -2.0092e+000 +1.4239e+000 -3.6969e+000 -2.3396e+000 +2.2144e+000 +2.3045e+000 +2.6333e+000 +2.7042e+000 +9.1154e-001 +2.2115e+000
2867 +3.838401891e+002 +3.838401891e+002 +1.038901891e+002 +1.038901891e+002 -3.0801e+000 -3.9869e+000 +3.8044e+000 -1.3738e+000 -4.6264e+000 -1.6244e+000 -1.4815e+000 +8.5163e-001 +1.9980e+000 -3.1005e+000 -2.0461e+000 +1.0225e+000 -4.4621e+000 -2.6344e+000 +1.5852e+000 +3.2619e+000 +1.6690e+000 +2.3814e+000 +1.0812e+000 +3.1683e+000
3348 +2.480500585e+002 +2.480500585e+002 -3.189994150e+001 -3.189994150e+001 -3.9093e+000 -4.2378e+000 +3.3394e+000 -1.1836e+000 -4.1308e+000 -2.0888e+000 -9.1471e-001 -8.3700e-002 +1.8139e+000 -2.9662e+000 -1.9016e+000 +1.0389e+000 -4.1249e+000 -2.2018e+000 +1.4110e+000 +2.9552e+000 +2.2871e+000 +2.4881e+000 +8.7736e-001 +2.6978e+000
3727 +1.567775749e+002 +1.567775749e+002 -1.231724251e+002 -1.231724251e+002 -4.1659e+000 -3.9872e+000 +3.2798e+000 -1.3186e+000 -4.4140e+000 -2.8603e+000 -1.5734e+000 -2.3472e-002 +1.9368e+000 -3.0651e+000 -1.6359e+000 +1.3278e+000 -4.5348e+000 -2.1806e+000 +4.3766e-001 +2.9920e+000 +3.2436e+000 +2.3052e+000 +1.3737e+000 +2.9526e+000
4365 +9.522423188e+001 +9.522423188e+001 -1.847257681e+002 -1.847257681e+002 -3.6599e+000 -4.0967e+000 +3.0037e+000 -1.3930e+000 -4.2688e+000 -2.6675e+000 -1.5365e+000 -3.4125e-001 +1.9221e+000 -3.3575e+000 -1.7991e+000 +1.5076e+000 -4.3755e+000 -2.1781e+000 +6.0298e-001 +3.3847e+000 +2.9840e+000 +2.5443e+000 +1.4183e+000 +2.7566e+000
5164 +6.143677207e+001 +6.143677207e+001 -2.185132279e+002 -2.185132279e+002 -3.9472e+000 -3.9805e+000 +3.1167e+000 -1.3563e+000 -4.2918e+000 -2.7477e+000 -1.5036e+000 -1.4879e-001 +1.7926e+000 -3.3506e+000 -1.8441e+000 +1.4368e+000 -4.3995e+000 -2.1366e+000 +5.2397e-001 +3.1905e+000 +3.0405e+000 +2.1972e+000 +1.3845e+000 +2.6947e+000
6063 +3.792949654e+001 +3.792949654e+001 -2.420205035e+002 -2.420205035e+002 -3.7849e+000 -3.9943e+000 +3.1601e+000 -1.2041e+000 -4.0944e+000 -2.8051e+000 -1.5503e+000 -3.1063e-002 +1.7200e+000 -3.3608e+000 -1.9412e+000 +1.4918e+000 -4.2958e+000 -2.1097e+000 +5.9580e-001 +3.1823e+000 +3.0640e+000 +2.4653e+000 +1.5125e+000 +2.8082e+000
6615 +2.411061697e+001 +2.411061697e+001 -2.558393830e+002 -2.558393830e+002 -3.8136e+000 -4.0241e+000 +3.1878e+000 -1.2576e+000 -4.1793e+000 -2.8240e+000 -1.5412e+000 -1.4626e-002 +1.6164e+000 -3.3637e+000 -1.9242e+000 +1.4781e+000 -4.3187e+000 -2.1117e+000 +5.1867e-001 +3.2252e+000 +3.0408e+000 +2.3879e+000 +1.5126e+000 +2.8301e+000
7016 +1.541439085e+001 +1.541439085e+001 -2.645356092e+002 -2.645356092e+002 -3.8019e+000 -4.0501e+000 +3.2081e+000 -1.2471e+000 -4.1013e+000 -2.7908e+000 -1.5382e+000 +5.1442e-003 +1.6077e+000 -3.4079e+000 -1.8995e+000 +1.5429e+000 -4.3077e+000 -2.1271e+000 +4.9264e-001 +3.2455e+000 +3.0880e+000 +2.3940e+000 +1.5443e+000 +2.8647e+000
8175 +9.943221156e+000 +9.943221156e+000 -2.700067788e+002 -2.700067788e+002 -3.8174e+000 -4.0713e+000 +3.1988e+000 -1.2722e+000 -4.1271e+000 -2.8129e+000 -1.5478e+000 +1.0550e-002 +1.5982e+000 -3.4089e+000 -1.9168e+000 +1.5036e+000 -4.3187e+000 -2.1108e+000 +4.9879e-001 +3.2346e+000 +3.0778e+000 +2.3662e+000 +1.5235e+000 +2.8488e+000
9945 +6.288473805e+000 +6.288473805e+000 -2.736615262e+002 -2.736615262e+002 -3.8134e+000 -4.0692e+000 +3.2160e+000 -1.2537e+000 -4.1069e+000 -2.8128e+000 -1.5393e+000 +1.0405e-002 +1.6066e+000 -3.4200e+000 -1.9071e+000 +1.5140e+000 -4.3075e+000 -2.1093e+000 +5.0799e-001 +3.2411e+000 +3.0912e+000 +2.3769e+000 +1.5362e+000 +2.8469e+000
% function evaluation | noise-free fitness - Fopt (9.319900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.076923174e+003 +4.076923174e+003 +5.008913174e+003 +5.008913174e+003 -3.7252e+000 -1.4753e+000 +2.7975e-001 +2.2088e+000 -2.4372e+000 -3.1663e+000 -3.9399e-001 +9.0468e-001 +7.3986e-001 -4.8752e+000 +2.4558e+000 +2.9580e+000 -3.4532e+000 +3.0899e+000 -4.6865e+000 +1.5384e+000 -2.4293e+000 -4.2807e+000 -4.9113e+000 -2.5070e+000
3 +3.344833436e+003 +3.344833436e+003 +4.276823436e+003 +4.276823436e+003 -4.7046e+000 +4.0087e-001 -4.0737e-002 +4.0614e+000 -4.1656e+000 +4.8346e+000 +2.6447e+000 +8.3222e-001 -4.6608e+000 -1.5570e+000 +4.6393e+000 +3.4277e+000 +2.1853e-001 +1.2333e-002 +2.1649e+000 -4.0809e+000 +1.0985e+000 -4.7035e+000 +4.3483e+000 +1.6891e+000
5 +2.366642846e+003 +2.366642846e+003 +3.298632846e+003 +3.298632846e+003 +3.2939e+000 +2.0240e+000 +1.3544e+000 -2.2320e+000 -2.0228e+000 +4.5329e+000 +4.0568e+000 +1.2293e+000 -3.1612e+000 -4.1510e+000 +7.3838e-001 -2.2590e+000 -2.3198e+000 -4.4016e+000 +4.8510e+000 +2.7321e+000 +2.0140e+000 -9.6904e-001 -1.5662e+000 +2.4276e+000
240 +1.445653674e+003 +1.445653674e+003 +2.377643674e+003 +2.377643674e+003 +1.8521e+000 +7.9381e-001 +6.3132e+000 +2.8881e-001 +1.8920e-001 -1.3493e+000 +2.5887e+000 -5.0988e+000 -1.0167e+000 +3.8132e+000 +3.6233e+000 -5.7734e+000 -8.1306e-001 +2.8072e+000 +4.2607e-001 +1.6012e+000 +6.9667e-001 -2.1795e+000 +3.1287e+000 +1.5755e+000
854 +9.270046817e+002 +9.270046817e+002 +1.858994682e+003 +1.858994682e+003 +1.2534e+000 +1.6644e+000 +4.0369e+000 -2.4703e-001 +1.1946e+000 -3.0276e+000 +4.7515e+000 -5.3499e+000 -1.1078e+000 +3.7850e+000 +2.9221e+000 -4.1905e+000 -1.8275e+000 +8.6884e-001 +2.2032e+000 +3.4679e+000 -8.0895e-001 -2.8066e+000 +2.9113e+000 +5.1874e-001
1570 +5.972325474e+002 +5.972325474e+002 +1.529222547e+003 +1.529222547e+003 +2.1201e+000 +1.2699e+000 +3.4443e+000 +3.4866e-001 +4.4513e-001 -2.2658e+000 +4.2895e+000 -5.1238e+000 -2.6907e+000 +2.3515e+000 +4.1118e+000 -1.0209e+000 -2.5031e+000 -8.7367e-001 +2.2023e+000 +1.7968e+000 -1.2765e+000 -3.0305e+000 +3.1312e+000 +4.0419e-001
